"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","9600049","1764","12","Republican","344"
"16","0","COOK","50003","Write-in","340","10TH CONGRESS","8100012","1244","99","Nonpartisan","3"
"16","0","COOK","50003","Write-in","340","10TH CONGRESS","8100022","1010","99","Nonpartisan","1"
"16","0","COOK","50003","Write-in","340","10TH CONGRESS","8300017","1742","99","Nonpartisan","1"
"16","0","COOK","50003","Write-in","340","10TH CONGRESS","9600076","1783","99","Nonpartisan","2"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 2","1063","11","Democratic","239"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 15","1050","11","Democratic","309"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 16","1030","11","Democratic","302"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 29","1182","11","Democratic","306"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 32","1155","11","Democratic","421"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 44","1013","11","Democratic","456"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 47","1035","11","Democratic","455"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Benton 58","857","11","Democratic","221"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Fremont 122","1128","11","Democratic","530"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Fremont 125","1062","11","Democratic","486"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Grant 138","933","11","Democratic","327"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Grant 139","1161","11","Democratic","350"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 150","1180","11","Democratic","373"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 164","996","11","Democratic","365"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 165","1052","11","Democratic","376"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 177","1021","11","Democratic","494"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 188","972","11","Democratic","337"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 191","883","11","Democratic","439"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 204","1368","11","Democratic","623"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 214","1153","11","Democratic","753"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 217","1099","11","Democratic","692"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 228","1176","11","Democratic","773"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Shields 238","1225","11","Democratic","517"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100023","1027","11","Democratic","362"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100032","933","11","Democratic","173"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100035","558","11","Democratic","327"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8300002","950","11","Democratic","497"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8300040","776","11","Democratic","312"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","9600048","880","11","Democratic","337"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8100010","1010","12","Republican","281"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8300018","1331","12","Republican","306"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8300036","1055","12","Republican","265"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","9600029","627","12","Republican","188"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","9600055","1017","12","Republican","255"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 5","1097","11","Democratic","346"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 8","1072","11","Democratic","360"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 19","1029","11","Democratic","276"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 22","1183","11","Democratic","384"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 33","1213","11","Democratic","394"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 36","1159","11","Democratic","490"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 50","1183","11","Democratic","585"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Benton 61","1278","11","Democratic","558"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Benton 62","1097","11","Democratic","341"
