"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","CINCINNATI 2","1235","12","REPUBLICAN","727"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","ELM GROVE 1","1259","12","REPUBLICAN","880"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","GROVELAND 3","1032","12","REPUBLICAN","656"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","GROVELAND 10","1258","12","REPUBLICAN","752"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","MORTON 2","1577","12","REPUBLICAN","1082"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","MORTON 9","939","12","REPUBLICAN","625"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","WASHINGTON 5","1275","12","REPUBLICAN","665"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","WASHINGTON 12","1320","12","REPUBLICAN","748"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","PEKIN 9","1118","12","REPUBLICAN","487"
"90","0","TAZEWELL","290","Darin LaHood","400","16TH CONGRESS","PEKIN 16","1318","12","REPUBLICAN","691"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","FONDULAC 5","941","99","NON-PARTISAN","20"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","GROVELAND 9","963","99","NON-PARTISAN","16"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","MACKINAW 1","961","99","NON-PARTISAN","11"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","MORTON 8","1416","99","NON-PARTISAN","40"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","TREMONT 2","791","99","NON-PARTISAN","12"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","WASHINGTON 11","1187","99","NON-PARTISAN","28"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","PEKIN 4","1393","99","NON-PARTISAN","12"
"90","0","TAZEWELL","50009","WRITE-IN","400","16TH CONGRESS","PEKIN 15","866","99","NON-PARTISAN","15"
"89","0","STEPHENSON","290","Darin LaHood","400","16TH CONGRESS","ROCK RUN 2","825","12","REPUBLICAN","555"
"89","0","STEPHENSON","290","Darin LaHood","400","16TH CONGRESS","ROCK GROVE","1052","12","REPUBLICAN","713"
"89","0","STEPHENSON","50001","WRITE-IN","400","16TH CONGRESS","ROCK RUN 1","682","99","NON-PARTISAN","6"
"89","0","STEPHENSON","50001","WRITE-IN","400","16TH CONGRESS","WEST POINT 1","1140","99","NON-PARTISAN","12"
"89","0","STEPHENSON","50001","WRITE-IN","400","16TH CONGRESS","WINSLOW","333","99","NON-PARTISAN","2"
"53","0","LIVINGSTON","290","Darin LaHood","400","16TH CONGRESS","LONG POINT","302","12","REPUBLICAN","220"
"53","0","LIVINGSTON","290","Darin LaHood","400","16TH CONGRESS","READING 1","557","12","REPUBLICAN","352"
"53","0","LIVINGSTON","50001","WRITE-IN","400","16TH CONGRESS","ROOKS CREEK","417","99","NON-PARTISAN","0"
