state,election_year,jurisdiction_name,source_id,source_level,row_method,ballots_cast,registered_voters,total_votes_cast,source_url,source_status,source_jurisdiction_name
SC,2024,Lee County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,8119,10024,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Lee
SC,2024,Lexington County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,147971,190088,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Lexington
SC,2024,Marion County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,13510,23610,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Marion
SC,2024,Marlboro County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,10243,15544,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Marlboro
SC,2024,McCormick County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,6221,7621,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,McCormick
SC,2024,Newberry County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,18247,23401,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Newberry
SC,2024,Oconee County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,42553,53441,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Oconee
SC,2024,Orangeburg County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,37174,58319,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Orangeburg
SC,2024,Pickens County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,60822,76308,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Pickens
SC,2024,Richland County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,183839,292272,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Richland
SC,2024,Saluda County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,9059,0,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Saluda
SC,2024,Spartanburg County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,156353,206828,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Spartanburg
SC,2024,Sumter County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,45468,61269,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Sumter
SC,2024,Union County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,12350,15975,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Union
SC,2024,Williamsburg County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,14414,19252,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,Williamsburg
SC,2024,York County,sc-2024-election-history-voter-statistics,county,electionHistoryVoterStatisticsCandidate,151012,190236,0,https://sc.elstats.civera.com/api/download_contest/7075_table.csv?split_party=false,candidate,York
