,,Joe Wilson,David Robinson II,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Precinct,Ridge View 02,489,1662,3,2154,88,2242
Precinct,River Springs 01,598,301,3,902,25,927
Precinct,River Springs 02,502,557,4,1063,34,1097
Precinct,River Springs 03,706,517,6,1229,29,1258
Precinct,Riverwalk,811,1233,2,2046,79,2125
Precinct,Round Top,196,318,0,514,21,535
Precinct,Satchelford,656,421,2,1079,29,1108
Precinct,South Beltline,268,544,1,813,38,851
Precinct,South Forest Acres,717,476,3,1196,40,1236
Precinct,Spring Hill,2058,479,4,2541,96,2637
Precinct,Spring Valley,778,1236,3,2017,79,2096
Precinct,Springville 01,1266,423,6,1695,56,1751
Precinct,Springville 02,1215,362,3,1580,50,1630
Precinct,Trenholm Road,431,338,5,774,24,798
Precinct,Valhalla,678,783,4,1465,63,1528
Precinct,Ward 16,734,387,4,1125,24,1149
Precinct,Ward 17,727,583,3,1313,39,1352
Precinct,Ward 24,524,310,2,836,28,864
Precinct,Ward 25,931,356,4,1291,35,1326
Precinct,Ward 26,299,509,3,811,23,834
Precinct,Wildewood,1031,1066,4,2101,70,2171
Precinct,Woodfield,363,1059,1,1423,55,1478
Precinct,Woodlands,1041,777,4,1822,46,1868
