,,William Timmons,Kathryn Harvey,Mark Hackett,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Constitution,,,,
Precinct,River Ridge Elementary,741,321,25,1,1088,25,1113
Precinct,Roebuck Bethlehem,739,639,26,1,1405,38,1443
Precinct,Roebuck Elementary,1030,975,37,2,2044,56,2100
Precinct,Silverhill Memorial Umc,210,605,17,0,832,45,877
Precinct,Southport,375,250,18,2,645,23,668
Precinct,Spartangreen,727,508,33,0,1268,30,1298
Precinct,St. John's Lutheran,634,486,20,2,1142,18,1160
Precinct,Startex Fire Station,302,277,12,1,592,18,610
Precinct,Travelers Rest Baptist,770,549,39,2,1360,30,1390
Precinct,Trinity Methodist Church,594,695,19,1,1309,21,1330
Precinct,Trinity Presbyterian,918,618,34,2,1572,48,1620
Precinct,Tyger River,1190,498,47,0,1735,37,1772
Precinct,Valley Falls,1542,764,53,2,2361,59,2420
Precinct,Victor Mill Methodist,715,465,40,3,1223,40,1263
Precinct,Wade Hampton,165,431,23,0,619,34,653
Precinct,Wellford Fire Station,1215,784,60,5,2064,60,2124
Precinct,West View Elementary,1072,545,45,2,1664,60,1724
Precinct,Willow Creek,930,277,46,4,1257,13,1270
Precinct,Woodland Heights Recreation Center,467,648,33,2,1150,39,1189
Precinct,Woodruff Leisure Center,745,259,35,0,1039,27,1066
