state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Cook County,8400,6071,6028,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Cook_42315_112288-summary.zip
GA,2012,Coweta County,73888,55807,55544,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Coweta_42316_112289-summary.zip
GA,2012,Crawford County,6956,5168,5132,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Crawford_42317_112290-summary.zip
GA,2012,Crisp County,10451,7428,7396,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Crisp_42318_112291-summary.zip
GA,2012,Dade County,11006,6117,6017,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Dade_42319_112343-summary.zip
GA,2012,Dawson County,13217,10277,10238,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Dawson_42320_112344-summary.zip
GA,2012,Decatur County,14145,10538,10484,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Decatur_42321_112345-summary.zip
GA,2012,DeKalb County,418611,307474,305908,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/DeKalb_42322_112346-summary.zip
GA,2012,Dodge County,11032,7807,7733,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Dodge_42323_112347-summary.zip
GA,2012,Dooly County,5680,4332,4298,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Dooly_42324_112348-summary.zip
GA,2012,Dougherty County,54258,38112,37916,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Dougherty_42325_112349-summary.zip
GA,2012,Douglas County,74210,55484,55247,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Douglas_42326_112350-summary.zip
GA,2012,Early County,7767,5382,5353,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Early_42327_112351-summary.zip
GA,2012,Echols County,1864,1114,1102,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Echols_42328_112352-summary.zip
GA,2012,Effingham County,29368,20896,20791,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Effingham_42329_112353-summary.zip
GA,2012,Elbert County,11182,8209,8143,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Elbert_42330_112354-summary.zip
GA,2012,Emanuel County,11080,8127,8082,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Emanuel_42331_112355-summary.zip
GA,2012,Evans County,4886,3586,3563,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Evans_42332_112356-summary.zip
GA,2012,Fannin County,14514,10128,10012,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Fannin_42333_112359-summary.zip
GA,2012,Fayette County,74541,58828,58537,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Fayette_42334_112360-summary.zip
GA,2012,Floyd County,47235,33028,32829,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Floyd_42335_112361-summary.zip
GA,2012,Forsyth County,102354,81997,81682,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Forsyth_42336_112362-summary.zip
GA,2012,Franklin County,11215,7822,7759,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Franklin_42337_112363-summary.zip
GA,2012,Fulton County,567174,399237,397255,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Fulton_42338_112364-summary.zip
GA,2012,Gilmer County,14825,11087,11018,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Gilmer_42339_112366-summary.zip
GA,2012,Glascock County,1856,1346,1333,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Glascock_42340_112367-summary.zip
