state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
CA,2024,,Humboldt,Humboldt,Humboldt,county,65232,84100,77.56,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 104567; precinct voters 11945; vote-by-mail voters 53287; eligible turnout 62.38%.
CA,2024,,Imperial,Imperial,Imperial,county,54566,90086,60.57,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 113514; precinct voters 19091; vote-by-mail voters 35475; eligible turnout 48.07%.
CA,2024,,Inyo,Inyo,Inyo,county,9096,10807,84.17,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 14506; precinct voters 1823; vote-by-mail voters 7273; eligible turnout 62.71%.
CA,2024,,Kern,Kern,Kern,county,286666,458138,62.57,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 566151; precinct voters 49208; vote-by-mail voters 237458; eligible turnout 50.63%.
CA,2024,,Kings,Kings,Kings,county,41998,64617,65.00,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 87280; precinct voters 6757; vote-by-mail voters 35241; eligible turnout 48.12%.
CA,2024,,Lake,Lake,Lake,county,27127,37975,71.43,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 51197; precinct voters 3577; vote-by-mail voters 23550; eligible turnout 52.99%.
CA,2024,,Lassen,Lassen,Lassen,county,11496,14992,76.68,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 20978; precinct voters 481; vote-by-mail voters 11015; eligible turnout 54.80%.
CA,2024,,Los Angeles,Los Angeles,Los Angeles,county,3793106,5745214,66.02,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 6657487; precinct voters 1060354; vote-by-mail voters 2732752; eligible turnout 56.98%.
CA,2024,,Madera,Madera,Madera,county,55329,78204,70.75,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 95290; precinct voters 8560; vote-by-mail voters 46769; eligible turnout 58.06%.
CA,2024,,Marin,Marin,Marin,county,146859,172385,85.19,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 182886; precinct voters 16313; vote-by-mail voters 130546; eligible turnout 80.30%.
CA,2024,,Mariposa,Mariposa,Mariposa,county,9616,11739,81.91,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 13755; precinct voters 163; vote-by-mail voters 9453; eligible turnout 69.91%.
CA,2024,,Mendocino,Mendocino,Mendocino,county,39837,54447,73.17,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 66917; precinct voters 2479; vote-by-mail voters 37358; eligible turnout 59.53%.
CA,2024,,Merced,Merced,Merced,county,87473,132007,66.26,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 174299; precinct voters 14189; vote-by-mail voters 73284; eligible turnout 50.19%.
CA,2024,,Modoc,Modoc,Modoc,county,4068,5191,78.37,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 6539; precinct voters 414; vote-by-mail voters 3654; eligible turnout 62.21%.
CA,2024,,Mono,Mono,Mono,county,6167,7789,79.18,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 8822; precinct voters 1127; vote-by-mail voters 5040; eligible turnout 69.90%.
CA,2024,,Monterey,Monterey,Monterey,county,148916,214883,69.30,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 256236; precinct voters 17325; vote-by-mail voters 131591; eligible turnout 58.12%.
