state,election_year,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
NC,2024,Buncombe County,Buncombe County,Buncombe County,county,161002,217714,73.9511,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Burke County,Burke County,Burke County,county,45943,61321,74.9221,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Cabarrus County,Cabarrus County,Cabarrus County,county,120470,162427,74.1687,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Caldwell County,Caldwell County,Caldwell County,county,43582,56462,77.1882,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Camden County,Camden County,Camden County,county,6315,8807,71.7043,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Carteret County,Carteret County,Carteret County,county,45869,58891,77.8880,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Caswell County,Caswell County,Caswell County,county,12079,15871,76.1074,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Catawba County,Catawba County,Catawba County,county,87342,117342,74.4337,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Chatham County,Chatham County,Chatham County,county,52448,63795,82.2133,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Cherokee County,Cherokee County,Cherokee County,county,17865,24597,72.6308,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
