state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Washoe County,203500.1 (16203501),743,948,37,1728,758,912,48,1718,1729,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,203700.1 (16203701),356,345,12,713,357,320,30,707,714,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,203800.1 (16203801),19,25,0,44,19,23,2,44,45,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,204100.1 (16204101),809,845,32,1686,805,826,53,1684,1689,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,204700.1 (16204701),670,721,20,1411,688,673,45,1406,1411,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,205800.1 (16205801),618,706,27,1351,625,663,53,1341,1352,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,206000.1 (16206001),163,183,4,350,165,167,17,349,350,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,206800.1 (16206801),282,328,13,623,284,322,13,619,623,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,207000.1 (16207001),88,151,1,240,86,148,6,240,240,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,208100.1 (16208101),641,727,27,1395,648,686,50,1384,1396,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300100.1 (16300101),114,54,3,171,109,51,8,168,171,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300300.1 (16300301),0,2,0,2,0,0,2,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300500.1 (16300501),682,497,30,1209,671,471,59,1201,1210,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300600.1 (16300601),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300700.1 (16300701),465,213,10,688,461,182,40,683,690,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,300900.1 (16300901),330,126,16,472,338,95,36,469,472,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301000.1 (16301001),5,9,0,14,5,7,2,14,14,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301100.1 (16301101),435,275,20,730,410,240,65,715,730,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301200.1 (16301201),611,295,15,921,613,256,44,913,923,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301300.1 (16301301),81,44,2,127,82,38,6,126,127,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301700.1 (16301701),275,153,7,435,273,135,18,426,437,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301800.1 (16301801),670,340,13,1023,654,301,63,1018,1031,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,301900.1 (16301901),114,104,3,221,111,88,23,222,223,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,302100.1 (16302101),6,5,0,11,5,4,2,11,11,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,302300.1 (16302301),633,323,17,973,629,286,44,959,975,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,302600.1 (16302601),45,47,2,94,46,45,3,94,94,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,303000.1 (16303001),714,529,29,1272,720,485,62,1267,1272,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,400200.1 (16400201),1349,493,23,1865,1292,407,139,1838,1867,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,400300.1 (16400301),192,146,5,343,191,139,13,343,345,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
