state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Washoe County,741200.1 (16741201),1,5,0,6,1,4,1,6,6,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,741300.1 (16741301),0,2,0,2,0,2,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,741500.1 (16741501),450,735,19,1204,460,669,68,1197,1204,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,741600.1 (16741601),238,337,11,586,249,312,20,581,588,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,741700.1 (16741701),411,816,16,1243,440,758,41,1239,1245,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,742400.1 (16742401),8,5,0,13,7,5,1,13,13,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,742600.1 (16742601),1,3,0,4,1,3,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,742800.1 (16742801),0,3,0,3,0,3,0,3,3,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,743100.1 (16743101),1,12,0,13,0,12,0,12,13,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,743300.1 (16743301),24,63,0,87,23,59,4,86,87,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,750200.1 (16750201),595,610,16,1221,604,520,82,1206,1222,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,750300.1 (16750301),6,4,0,10,6,4,0,10,10,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,750600.1 (16750601),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,750700.1 (16750701),20,69,1,90,22,62,6,90,91,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,750800.1 (16750801),6,7,0,13,4,6,3,13,13,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,751000.1 (16751001),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,751600.1 (16751601),4,13,0,17,4,11,2,17,17,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,751900.1 (16751901),93,346,7,446,93,333,14,440,447,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752000.1 (16752001),444,727,16,1187,445,682,55,1182,1190,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752100.1 (16752101),3,1,0,4,3,1,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752200.1 (16752201),29,26,0,55,30,22,3,55,55,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752300.1 (16752301),370,758,18,1146,379,712,52,1143,1148,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752400.1 (16752401),197,418,15,630,205,406,18,629,632,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752500.1 (16752501),193,423,11,627,200,398,25,623,629,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752600.1 (16752601),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,752900.1 (16752901),66,251,3,320,67,241,10,318,320,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,753100.1 (16753101),0,4,0,4,0,4,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,753200.1 (16753201),221,272,14,507,231,260,16,507,508,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,753600.1 (16753601),416,835,20,1271,446,761,61,1268,1273,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,753700.1 (16753701),13,27,1,41,13,24,3,40,41,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,754100.1 (16754101),308,560,15,883,309,518,55,882,885,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,754200.1 (16754201),21,94,3,118,23,81,13,117,118,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,754500.1 (16754501),0,5,0,5,0,3,1,4,5,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,754700.1 (16754701),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,754800.1 (16754801),1,0,0,1,1,0,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,755100.1 (16755101),11,10,0,21,11,10,0,21,21,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,755300.1 (16755301),1,4,0,5,1,3,1,5,5,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,755600.1 (16755601),2,5,0,7,2,5,0,7,7,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,755900.1 (16755901),2,21,0,23,3,19,1,23,23,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,756100.1 (16756101),32,34,1,67,32,32,3,67,67,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,756300.1 (16756301),6,13,0,19,6,11,2,19,19,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,756500.1 (16756501),1,1,0,2,1,1,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757000.1 (16757001),5,23,0,28,7,21,0,28,28,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757100.1 (16757101),8,16,1,25,9,14,2,25,25,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757200.1 (16757201),2,1,0,3,0,2,1,3,3,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757300.1 (16757301),3,5,0,8,2,5,1,8,8,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757600.1 (16757601),79,222,3,304,84,211,7,302,304,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757800.1 (16757801),3,31,1,35,3,31,1,35,35,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,757900.1 (16757901),30,28,0,58,32,24,2,58,58,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,758100.1 (16758101),2,2,0,4,2,2,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,758700.1 (16758701),2,4,0,6,2,4,0,6,6,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,759100.1 (16759101),22,31,0,53,22,28,3,53,53,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810000.1 (16810001),267,259,11,537,284,241,8,533,538,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810100.1 (16810101),5,1,0,6,5,1,0,6,6,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810200.1 (16810201),5,7,0,12,6,6,0,12,12,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810300.1 (16810301),208,195,5,408,213,182,11,406,408,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810400.1 (16810401),141,184,6,331,147,174,6,327,331,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810500.1 (16810501),208,182,5,395,208,177,10,395,395,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810600.1 (16810601),286,266,11,563,277,272,11,560,564,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810700.1 (16810701),242,295,16,553,253,289,8,550,555,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810800.1 (16810801),258,278,20,556,256,281,18,555,558,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,810900.1 (16810901),293,387,17,697,293,386,12,691,699,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811000.1 (16811001),95,87,7,189,93,92,2,187,189,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811200.1 (16811201),4,7,0,11,4,7,0,11,11,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811300.1 (16811301),6,13,1,20,6,14,0,20,20,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811400.1 (16811401),1,0,0,1,1,0,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811500.1 (16811501),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811600.1 (16811601),250,198,9,457,247,197,10,454,457,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811700.1 (16811701),209,223,7,439,215,216,6,437,440,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,811900.1 (16811901),11,63,0,74,13,59,1,73,74,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,812200.1 (16812201),3,4,0,7,3,3,1,7,7,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,812500.1 (16812501),2,0,0,2,2,0,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,812900.1 (16812901),3,6,0,9,2,6,1,9,9,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820000.1 (16820001),402,613,18,1033,423,573,34,1030,1038,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820100.1 (16820101),73,110,7,190,75,109,6,190,190,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820300.1 (16820301),459,803,21,1283,461,794,25,1280,1283,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820400.1 (16820401),70,113,4,187,72,112,2,186,187,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820500.1 (16820501),584,734,33,1351,612,716,19,1347,1352,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820600.1 (16820601),14,21,0,35,17,18,0,35,35,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,820800.1 (16820801),107,231,3,341,112,219,9,340,341,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,821000.1 (16821001),108,251,4,363,113,235,15,363,363,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,821100.1 (16821101),8,11,0,19,8,11,0,19,19,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,821600.1 (16821601),3,21,0,24,3,21,0,24,24,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,821800.1 (16821801),0,2,0,2,0,2,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,821900.1 (16821901),84,214,3,301,84,213,3,300,301,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,822000.1 (16822001),199,315,3,517,205,296,10,511,517,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,822100.1 (16822101),135,233,2,370,139,222,6,367,371,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,822200.1 (16822201),156,375,4,535,159,360,12,531,535,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,822600.1 (16822601),1,0,0,1,1,0,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823300.1 (16823301),215,236,6,457,215,225,16,456,457,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823400.1 (16823401),4,22,0,26,4,20,1,25,26,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823500.1 (16823501),108,127,4,239,115,120,4,239,239,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823600.1 (16823601),314,457,14,785,313,455,15,783,786,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823700.1 (16823701),331,443,11,785,341,430,13,784,785,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,823800.1 (16823801),265,503,12,780,265,500,13,778,780,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,824000.1 (16824001),459,598,16,1073,490,565,15,1070,1078,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,824500.1 (16824501),196,254,11,461,199,231,27,457,463,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,825400.1 (16825401),348,439,24,811,360,421,27,808,812,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,825600.1 (16825601),181,261,9,451,187,243,20,450,454,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,825800.1 (16825801),2,4,0,6,2,4,0,6,6,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,826400.1 (16826401),55,99,3,157,53,96,8,157,157,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,827100.1 (16827101),222,308,16,546,227,299,18,544,546,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,827300.1 (16827301),62,146,5,213,61,143,8,212,213,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,829700.1 (16829701),51,142,5,198,56,130,10,196,198,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,840100.1 (16840101),596,658,23,1277,610,632,28,1270,1278,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,840200.1 (16840201),0,3,0,3,0,3,0,3,3,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,910300.1 (16910301),2,7,0,9,1,5,2,8,9,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,911600.1 (16911601),1,0,0,1,1,0,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,980000.1 (16980001),1,1,0,2,0,0,0,0,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
