City/Town,,,"Hillary Clinton","Donald Trump","Bernie Sanders","Gary Johnson","Jill Stein","Rocky De La Fuente/ Michael","Gloria Lariva/ Eugene Puryear",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,,Libertarian,Green,Independent,"Liberty Union"
Vernon,,,492,486,50,50,11,3,0,30,18,1,"1,141"
Vershire,,,189,118,25,10,18,2,0,2,2,1,367
Victory,,,18,38,5,3,1,0,0,0,3,0,68
Waitsfield,,,751,210,74,29,35,6,0,6,21,2,"1,134"
Walden,,,246,168,46,22,25,3,2,7,8,0,527
Wallingford,,,529,463,47,35,22,4,1,12,15,3,"1,131"
Waltham,,,149,83,0,14,2,0,0,27,3,6,284
Wardsboro,,,199,137,25,12,11,1,0,7,11,0,403
Warren,,,752,182,62,45,25,4,0,9,9,1,"1,089"
Washington,,,217,241,34,24,11,4,0,5,17,4,557
Waterbury,,,"2,035",592,231,91,44,16,1,30,43,5,"3,088"
Waterford,,,292,341,43,37,5,1,0,17,6,1,743
Waterville,,,161,146,36,14,10,1,1,6,6,0,381
Weathersfield,,,745,647,86,51,26,8,1,13,22,0,"1,599"
Wells,,,209,312,22,17,6,2,0,7,6,0,581
"W. Fairlee",,,161,97,21,15,2,0,1,0,5,3,305
"W. Haven",,,56,56,13,0,7,1,0,0,8,1,142
"W. Rutland",,,384,541,53,33,10,4,1,10,13,2,"1,051"
"W. Windsor",,,469,173,0,27,6,2,0,30,11,4,722
Westfield,,,134,123,24,6,11,1,0,4,1,2,306
Westford,,,696,371,88,58,22,5,5,24,2,10,"1,281"
Westminster,,,"1,001",352,82,32,61,5,0,13,13,7,"1,566"
Westmore,,,103,93,7,7,4,1,0,1,5,0,221
Weston,,,267,106,17,8,5,1,0,10,2,1,417
Weybridge,,,415,74,0,18,8,1,2,5,44,0,567
Wheelock,,,156,175,28,13,13,1,1,7,4,6,404
Whiting,,,95,68,20,8,2,2,0,2,2,0,199
Whitingham,,,283,285,30,22,10,4,1,7,11,0,653
Williamstown,,,627,658,135,72,25,10,1,13,24,8,"1,573"
Williston,,,"3,508","1,481",252,195,69,15,2,80,80,27,"5,709"
Wilmington,,,591,338,44,36,26,2,2,7,17,0,"1,063"
Windham,,,156,79,16,10,8,3,1,2,10,2,287
Windsor,,,964,462,92,92,44,3,2,36,21,3,"1,719"
Winhall,,,299,158,29,15,7,2,1,6,11,3,531
Winooski,,,"2,105",536,182,78,107,14,7,39,39,6,"3,113"
Wolcott,,,397,276,63,24,27,3,1,7,11,1,810
Woodbury,,,271,169,44,18,18,3,2,2,8,2,537
Woodford,,,94,66,8,6,1,0,1,1,2,4,183
Woodstock,,,"1,319",372,73,48,31,5,2,30,30,2,"1,912"
Worcester,,,374,117,48,19,27,3,1,5,5,1,600
TOTALS,,,"178,573","95,369","18,218","10,078","6,758","1,063",327,"4,681","4,574",826,"320,467"
