state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url,source_display_name,source_jurisdiction_name
DC,2016,District of Columbia,11001,county:11001,dc-historical-presidential-baseline,county,dcBoeCertifiedPrecinctCsvCountyEquivalentAggregate,282830,12723,15715,311268,https://electionresults.dcboe.org/Downloads/Reports/November_8_2016_General_Election_Certified_Results.csv,District of Columbia,District of Columbia
DC,2020,District of Columbia,11001,county:11001,dc-historical-presidential-baseline,county,dcBoeCertifiedPrecinctCsvCountyEquivalentAggregate,317323,18586,8447,344356,https://electionresults.dcboe.org/Downloads/Reports/November_3_2020_General_Election_Certified_Results.csv,District of Columbia,District of Columbia
