state,election_year,jurisdiction_name,trump,harris,oliver,stein,sonski,de_la_cruz,ayyadurai,potus
MO,2024,Stone County,15357,3620,90,55,0,1,0,0
MO,2024,Sullivan County,2035,408,11,9,0,0,0,0
MO,2024,Taney County,21236,5329,161,85,12,1,0,0
MO,2024,Texas County,9855,1589,46,35,0,0,0,0
MO,2024,Vernon County,7112,1774,58,29,0,0,0,0
MO,2024,Warren County,14915,4970,141,68,0,1,0,0
MO,2024,Washington County,8424,1747,39,25,2,0,0,0
MO,2024,Wayne County,5030,783,19,15,0,0,0,0
MO,2024,Webster County,15984,3653,127,44,3,3,0,0
MO,2024,Worth County,904,190,9,2,0,0,0,0
MO,2024,Wright County,7850,1057,46,25,0,1,0,1
