state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,source_id,source_level,row_method,source_url,source_display_name,source_jurisdiction_name,dem_votes,rep_votes,other_votes,total_votes,notes
MO,2012,Cass County,29037,county:29037,Cass County,Cass County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Cass County,Cass County,17044,30912,957,48913,
MO,2012,Cedar County,29039,county:29039,Cedar County,Cedar County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Cedar County,Cedar County,1537,4376,132,6045,
MO,2012,Chariton County,29041,county:29041,Chariton County,Chariton County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Chariton County,Chariton County,1339,2402,80,3821,
MO,2012,Christian County,29043,county:29043,Christian County,Christian County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Christian County,Christian County,9813,27473,678,37964,
MO,2012,Clark County,29045,county:29045,Clark County,Clark County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Clark County,Clark County,1398,1730,97,3225,
MO,2012,Clay County,29047,county:29047,Clay County,Clay County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Clay County,Clay County,47310,56191,2088,105589,
MO,2012,Clinton County,29049,county:29049,Clinton County,Clinton County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Clinton County,Clinton County,3688,5931,242,9861,
MO,2012,Cole County,29051,county:29051,Cole County,Cole County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Cole County,Cole County,12005,24490,567,37062,
MO,2012,Cooper County,29053,county:29053,Cooper County,Cooper County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Cooper County,Cooper County,2474,4887,150,7511,
MO,2012,Crawford County,29055,county:29055,Crawford County,Crawford County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Crawford County,Crawford County,2951,6434,194,9579,
MO,2012,Dade County,29057,county:29057,Dade County,Dade County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Dade County,Dade County,939,2895,62,3896,
MO,2012,Dallas County,29059,county:29059,Dallas County,Dallas County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Dallas County,Dallas County,2122,4992,165,7279,
MO,2012,Daviess County,29061,county:29061,Daviess County,Daviess County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Daviess County,Daviess County,1125,2290,106,3521,
MO,2012,DeKalb County,29063,county:29063,DeKalb County,DeKalb County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,De Kalb County,De Kalb County,1194,3056,100,4350,Normalized the source display name De Kalb County to the Census county display name DeKalb County.
MO,2012,Dent County,29065,county:29065,Dent County,Dent County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Dent County,Dent County,1585,4883,175,6643,
MO,2012,Douglas County,29067,county:29067,Douglas County,Douglas County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Douglas County,Douglas County,1710,4649,198,6557,
MO,2012,Dunklin County,29069,county:29069,Dunklin County,Dunklin County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Dunklin County,Dunklin County,3636,6850,165,10651,
MO,2012,Franklin County,29071,county:29071,Franklin County,Franklin County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Franklin County,Franklin County,16347,29396,1012,46755,
MO,2012,Gasconade County,29073,county:29073,Gasconade County,Gasconade County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Gasconade County,Gasconade County,2099,4895,140,7134,
MO,2012,Gentry County,29075,county:29075,Gentry County,Gentry County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Gentry County,Gentry County,937,1988,74,2999,
MO,2012,Greene County,29077,county:29077,Greene County,Greene County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Greene County,Greene County,46219,76900,2729,125848,
MO,2012,Grundy County,29079,county:29079,Grundy County,Grundy County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Grundy County,Grundy County,1212,3030,132,4374,
MO,2012,Harrison County,29081,county:29081,Harrison County,Harrison County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Harrison County,Harrison County,984,2624,87,3695,
MO,2012,Henry County,29083,county:29083,Henry County,Henry County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Henry County,Henry County,3606,6229,288,10123,
MO,2012,Hickory County,29085,county:29085,Hickory County,Hickory County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Hickory County,Hickory County,1733,2835,112,4680,
MO,2012,Holt County,29087,county:29087,Holt County,Holt County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Holt County,Holt County,551,1725,34,2310,
MO,2012,Howard County,29089,county:29089,Howard County,Howard County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Howard County,Howard County,1723,3017,127,4867,
