state,election_year,jurisdiction_name,county,local_unit,jurisdiction_tag,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
OK,2020,Haskell County,Haskell County,Haskell County,county:40061,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,783,4165,66,5014
OK,2020,Hughes County,Hughes County,Hughes County,county:40063,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,919,3875,63,4857
OK,2020,Jackson County,Jackson County,Jackson County,county:40065,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1646,6392,183,8221
OK,2020,Jefferson County,Jefferson County,Jefferson County,county:40067,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,319,2026,40,2385
OK,2020,Johnston County,Johnston County,Johnston County,county:40069,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,738,3441,72,4251
OK,2020,Kay County,Kay County,Kay County,county:40071,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,4040,12834,375,17249
OK,2020,Kingfisher County,Kingfisher County,Kingfisher County,county:40073,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,854,5521,90,6465
OK,2020,Kiowa County,Kiowa County,Kiowa County,county:40075,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,699,2673,55,3427
OK,2020,Latimer County,Latimer County,Latimer County,county:40077,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,762,3437,50,4249
OK,2020,LeFlore County,LeFlore County,LeFlore County,county:40079,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3299,15213,293,18805
OK,2020,Lincoln County,Lincoln County,Lincoln County,county:40081,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,2609,12013,266,14888
OK,2020,Logan County,Logan County,Logan County,county:40083,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,5455,15608,511,21574
OK,2020,Love County,Love County,Love County,county:40085,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,711,3305,60,4076
OK,2020,McClain County,McClain County,McClain County,county:40087,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3582,15295,359,19236
OK,2020,McCurtain County,McCurtain County,McCurtain County,county:40089,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1858,9485,124,11467
OK,2020,McIntosh County,McIntosh County,McIntosh County,county:40091,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,2031,6172,132,8335
OK,2020,Major County,Major County,Major County,county:40093,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,320,3084,63,3467
OK,2020,Marshall County,Marshall County,Marshall County,county:40095,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1100,4891,73,6064
OK,2020,Mayes County,Mayes County,Mayes County,county:40097,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3581,12749,296,16626
OK,2020,Murray County,Murray County,Murray County,county:40099,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1156,4612,126,5894
OK,2020,Muskogee County,Muskogee County,Muskogee County,county:40101,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,8027,16526,528,25081
OK,2020,Noble County,Noble County,Noble County,county:40103,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1003,3821,114,4938
OK,2020,Nowata County,Nowata County,Nowata County,county:40105,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,712,3610,69,4391
OK,2020,Okfuskee County,Okfuskee County,Okfuskee County,county:40107,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,896,3058,84,4038
OK,2020,Oklahoma County,Oklahoma County,Oklahoma County,county:40109,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,141724,145050,7966,294740
OK,2020,Okmulgee County,Okmulgee County,Okmulgee County,county:40111,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,4357,9668,288,14313
OK,2020,Osage County,Osage County,Osage County,county:40113,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,6002,14121,415,20538
OK,2020,Ottawa County,Ottawa County,Ottawa County,county:40115,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,2686,8545,207,11438
OK,2020,Pawnee County,Pawnee County,Pawnee County,county:40117,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1363,5267,156,6786
OK,2020,Payne County,Payne County,Payne County,county:40119,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,10904,17813,926,29643
OK,2020,Pittsburg County,Pittsburg County,Pittsburg County,county:40121,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3768,13851,305,17924
OK,2020,Pontotoc County,Pontotoc County,Pontotoc County,county:40123,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,4117,10805,398,15320
OK,2020,Pottawatomie County,Pottawatomie County,Pottawatomie County,county:40125,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,7275,20240,670,28185
