state,election_year,county_code,county,biden_votes,trump_votes,other_votes,total_votes,jurisdiction_tag,source_url,source_page
OK,2020,34,Jefferson County,319,2026,40,2385,county:40067,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,35,Johnston County,738,3441,72,4251,county:40069,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,36,Kay County,4040,12834,375,17249,county:40071,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,37,Kingfisher County,854,5521,90,6465,county:40073,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,38,Kiowa County,699,2673,55,3427,county:40075,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,39,Latimer County,762,3437,50,4249,county:40077,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,40,LeFlore County,3299,15213,293,18805,county:40079,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,41,Lincoln County,2609,12013,266,14888,county:40081,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,42,Logan County,5455,15608,511,21574,county:40083,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,43,Love County,711,3305,60,4076,county:40085,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,44,McClain County,3582,15295,359,19236,county:40087,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,45,McCurtain County,1858,9485,124,11467,county:40089,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,46,McIntosh County,2031,6172,132,8335,county:40091,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,47,Major County,320,3084,63,3467,county:40093,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,48,Marshall County,1100,4891,73,6064,county:40095,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,49,Mayes County,3581,12749,296,16626,county:40097,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,50,Murray County,1156,4612,126,5894,county:40099,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,51,Muskogee County,8027,16526,528,25081,county:40101,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,52,Noble County,1003,3821,114,4938,county:40103,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,53,Nowata County,712,3610,69,4391,county:40105,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,54,Okfuskee County,896,3058,84,4038,county:40107,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,55,Oklahoma County,141724,145050,7966,294740,county:40109,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,56,Okmulgee County,4357,9668,288,14313,county:40111,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,57,Osage County,6002,14121,415,20538,county:40113,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,58,Ottawa County,2686,8545,207,11438,county:40115,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,59,Pawnee County,1363,5267,156,6786,county:40117,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,60,Payne County,10904,17813,926,29643,county:40119,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
