state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,source_url
TN,2024,Anderson County,Andersonville,301,1714,15,2030,309,1661,24,1994,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Briceville,41,364,4,409,50,342,7,399,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Brushy Valley,146,695,6,847,151,670,13,834,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Bull Run,543,1777,28,2348,555,1719,42,2316,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Claxton,403,1183,15,1601,419,1123,41,1583,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton,694,1646,23,2363,712,1578,35,2325,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton High,274,803,11,1088,266,783,21,1070,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Clinton Middle,156,692,3,851,159,659,15,833,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Dutch Valley,67,374,5,446,71,360,9,440,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Emory Valley,1049,928,31,2008,1018,929,44,1991,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Fairview,122,763,4,889,133,736,10,879,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Glen Alpine,380,1588,12,1980,385,1534,30,1949,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Glenwood,811,857,28,1696,807,816,50,1673,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Hendrix Creek,1044,1175,29,2248,1027,1182,29,2238,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Highland View,455,525,18,998,453,502,27,982,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Lake City MS,276,1606,13,1895,302,1543,25,1870,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Marlow,219,833,15,1067,218,804,24,1046,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Norris,446,499,13,958,449,502,6,957,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,North Clinton,316,905,15,1236,323,867,25,1215,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Norwood,340,1219,18,1577,363,1157,26,1546,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,OR Senior Center,693,576,30,1299,677,560,42,1279,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Pine Valley,868,722,29,1619,870,685,39,1594,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Robertsville,479,533,25,1037,473,512,39,1024,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Rocky Top,78,394,2,474,83,371,9,463,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Rosedale,12,66,1,79,14,58,0,72,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,South Clinton,203,907,13,1123,209,867,26,1102,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,West Hills,733,864,25,1622,735,837,40,1612,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Anderson County,Woodland,376,374,10,760,356,361,24,741,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,1-1 Wartrace,294,1437,21,1752,290,1380,37,1707,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,1-2 Bell Buckle,256,1077,8,1341,260,1038,19,1317,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,2-3 Deason,486,2236,25,2747,480,2127,59,2666,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,3-3 Unionville,362,2242,27,2631,389,2129,49,2567,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,4-3 Bedford,336,2215,15,2566,346,2109,43,2498,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,5-2 Flat Creek,285,1689,25,1999,308,1628,32,1968,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,5-5 Normandy,172,866,14,1052,183,844,10,1037,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,6-1 East Side,439,671,14,1124,408,640,42,1090,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,7-1 Deery Eakin,526,1118,17,1661,499,1085,35,1619,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,8-1 Thomas,484,966,16,1466,441,930,39,1410,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bedford County,9-2 Southside,482,1255,14,1751,463,1188,50,1701,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,1 Holladay,197,1076,8,1281,190,1036,21,1247,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,2 Camden Jr High,226,943,11,1180,225,901,32,1158,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,3 Camden City Hall,214,850,9,1073,206,814,19,1039,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,4 Camden Elementary,213,1049,10,1272,207,1015,20,1242,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,5 Library,236,849,9,1094,234,808,29,1071,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Benton County,6 Big Sandy,231,1119,10,1360,221,1079,33,1333,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,1-1 Dill,39,246,4,289,33,237,9,279,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,1-2 Griffith,43,163,0,206,44,155,3,202,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,1-3 Mt. Crest,51,383,6,440,51,371,11,433,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,2-1 Cold Springs,100,653,4,757,102,629,6,737,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,2-2 Luminary,35,353,0,388,37,338,6,381,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,3-1 Brayton,37,505,3,545,31,490,14,535,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,3-2 Rigsby,66,613,5,684,63,594,11,668,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,4-1 Pikeville,173,569,7,749,173,538,15,726,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,5-1 Bellview,94,684,9,787,100,658,16,774,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,5-2 Nine Mile,9,77,0,86,6,76,0,82,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,6-1 Lee Station,77,277,1,355,83,262,2,347,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bledsoe County,6-2 Lusk,167,731,7,905,174,713,10,897,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Alcoa,1108,2343,64,3515,1118,2303,69,3490,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Board of Education,757,1859,42,2658,753,1840,40,2633,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Carpenters,392,1925,17,2334,397,1879,32,2308,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Chilhowee View,362,1359,20,1741,378,1289,42,1709,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Eagleton MS Cafeteria,741,2141,37,2919,749,2082,60,2891,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Everett,442,702,13,1157,438,662,38,1138,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Fairview,754,2358,30,3142,749,2300,56,3105,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Friendsville,451,2147,15,2613,456,2086,39,2581,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Heritage,721,2591,43,3355,742,2529,47,3318,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,John Sevier,894,1968,34,2896,873,1943,56,2872,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Lanier,354,1808,23,2185,381,1744,40,2165,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Louisville,844,2501,33,3378,849,2465,49,3363,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Martin Luther King,610,460,12,1082,583,442,34,1059,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Maryville College,482,663,25,1170,463,684,23,1170,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Maryville HS,1272,2497,52,3821,1227,2479,66,3772,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Maryville Jr High,834,1392,34,2260,797,1411,27,2235,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Maryville Municipal,876,1869,33,2778,850,1803,69,2722,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Middlesettlements,999,2279,47,3325,1013,2203,61,3277,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Montvale,674,2447,43,3164,675,2385,62,3122,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Oakview at HHS,377,1772,20,2169,376,1744,29,2149,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Pellissippi Campus,533,2200,31,2764,537,2154,49,2740,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Porter,526,1955,38,2519,527,1923,49,2499,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Prospect,417,1801,38,2256,429,1771,37,2237,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Rockford,489,1140,26,1655,494,1094,35,1623,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Townsend,492,1360,19,1871,502,1327,25,1854,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,William Blount HS,596,2185,32,2813,590,2118,67,2775,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Blount County,Wm Blount Academy,667,2977,40,3684,686,2891,70,3647,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,1-1 McDonald,268,1425,21,1714,269,1389,33,1691,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,1-2 Prospect,728,3245,45,4018,714,3186,70,3970,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,1-3 Hopewell,390,2312,34,2736,394,2238,54,2686,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,2-1 E.L. Ross,1133,4183,56,5372,1086,4076,99,5261,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,2-2 Walker Valley,627,3161,39,3827,597,3085,72,3754,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,3-1 Lee University,616,1240,30,1886,599,1200,43,1842,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,3-2 Senior Center,959,2973,57,3989,925,2901,78,3904,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,4-1 Oak Grove,452,2618,23,3093,448,2510,68,3026,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,4-2 Michigan Ave,688,3210,38,3936,638,3114,83,3835,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,5-1 Blythe/Bower,622,2278,35,2935,608,2144,62,2814,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,5-2 Museum,473,793,19,1285,440,742,50,1232,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,6-1 Valley View,30,219,1,250,32,209,3,244,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,6-2 Blue Springs,370,2477,30,2877,357,2399,56,2812,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,6-3 Waterville,241,1204,10,1455,230,1155,28,1413,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,6-4 Black Fox,192,1128,17,1337,190,1104,24,1318,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,6-5 Valley View,243,1713,19,1975,251,1643,54,1948,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,7-1 Stuart,1122,2913,45,4080,1061,2824,98,3983,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Bradley County,7-2 Cleveland High,698,1744,39,2481,655,1703,54,2412,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,1-1 Alder Springs,35,272,2,309,38,262,5,305,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,1-2 Demory,171,857,5,1033,179,814,14,1007,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,1-3 Pinecrest,57,307,5,369,59,298,6,363,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,1-4 Valley View,210,1404,10,1624,229,1324,32,1585,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,1-5 Well Springs,60,260,1,321,60,244,10,314,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,2-1 College Hill,46,309,4,359,52,273,19,344,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,2-2 East LaFollette,170,831,14,1015,179,758,28,965,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,2-3 LaFollette ES,190,1197,6,1393,211,1119,18,1348,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,3-1 CCHS,116,714,11,841,129,651,17,797,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,3-2 Jacksboro Sta,252,1683,13,1948,287,1590,24,1901,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,3-3 West LaFollette,106,375,1,482,105,343,11,459,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,4-1 Caryville,195,1104,8,1307,209,1033,27,1269,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,4-2 Clinchmore,9,42,0,51,10,33,3,46,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,4-3 Jacksboro,171,891,13,1075,193,837,19,1049,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,4-4 Ridgewood,169,720,6,895,179,671,12,862,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-1 Elk Valley,31,278,1,310,31,268,7,306,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-2 Habersham,49,520,4,573,45,493,11,549,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-3 Jellico,163,672,3,838,172,633,14,819,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-4 Newcomb,46,322,1,369,63,284,6,353,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-5 White Oak,41,228,0,269,41,209,2,252,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Campbell County,5-6 LaFollette Rec,18,129,0,147,24,113,4,141,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,1-1 Westside,234,1306,15,1555,232,1245,26,1503,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,2-1 Auburntown,107,442,6,555,100,430,5,535,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,2-2 Gassaway,45,185,3,233,49,173,5,227,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,2-3 Pleasant Ridge,74,323,4,401,79,298,8,385,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,2-4 Short Mountain,75,210,5,290,77,196,7,280,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,3-2 Woodland,166,1183,14,1363,184,1090,26,1300,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,4-1 Eastside,156,997,6,1159,168,920,19,1107,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,4-2 Short Mountain,45,296,1,342,50,279,6,335,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Cannon County,5-1 Woodbury,230,740,13,983,232,677,28,937,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,1-1 Lavinia,44,339,3,386,36,339,7,382,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,1-2 Cedar Grove,134,559,7,700,113,563,10,686,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,1-3 Atwood,200,556,4,760,175,566,8,749,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,2-1 McLemoresville,82,328,0,410,72,322,7,401,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,2-2 Trezevant,153,633,7,793,136,626,14,776,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,3-1 Bruceton,176,843,9,1028,156,824,24,1004,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,4-1 Recycling Center,86,574,3,663,80,574,7,661,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,4-2 Hollow Rock,106,429,5,540,92,420,11,523,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,5-1 Civic Center,370,1388,16,1774,336,1356,36,1728,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,6-1 Clarksburg,86,758,7,851,77,751,12,840,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,6-2 Concord/Westport,71,352,7,430,67,346,9,422,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,7-1 Police Station-Hunt,203,1005,15,1223,193,987,15,1195,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,8-1 Senior Citizens,225,585,4,814,200,580,15,795,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,9-1 Church of Christ,220,892,5,1117,202,884,11,1097,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carroll County,9-2 City Hall-MK,77,306,10,393,82,308,6,396,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Central,261,1026,19,1306,231,1017,23,1271,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Courthouse,234,1114,8,1356,200,1090,22,1312,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Eastside,174,872,12,1058,166,841,22,1029,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Elk Mills,30,172,1,203,31,162,0,193,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Gap Creek,317,1296,10,1623,293,1255,32,1580,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Hampton,132,947,5,1084,124,908,21,1053,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Happy Valley,772,1957,36,2765,708,1957,49,2714,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Harold McCormick,275,699,18,992,234,698,29,961,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,High School,408,1034,17,1459,371,1010,33,1414,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Hunter,223,1541,8,1772,210,1499,25,1734,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Keenburg,157,894,12,1063,144,869,17,1030,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Little Milligan,62,273,2,337,58,267,2,327,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Carter County,Midway,47,592,10,649,47,562,13,622,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
