state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,source_url
TN,2024,Davidson County,19-3,1172,359,31,1562,1127,348,37,1512,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,19-4,1241,1091,35,2367,1232,1058,44,2334,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,19-5,1512,1452,45,3009,1522,1411,61,2994,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,20-1,261,247,7,515,268,224,6,498,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,20-2,1655,1166,61,2882,1681,1123,52,2856,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,20-3,2101,1680,78,3859,2102,1613,94,3809,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,20-4,98,73,1,172,98,71,2,171,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,20-5,1178,677,34,1889,1189,650,32,1871,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,21-1,770,417,32,1219,768,415,27,1210,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,21-2,1059,302,34,1395,1017,297,35,1349,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,21-3,1715,470,55,2240,1628,508,69,2205,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,21-4,1064,165,26,1255,986,176,41,1203,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
