state,election_year,jurisdiction_name,level,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,gov_dem,gov_rep,gov_other,gov_total,house_district,house_dem,house_rep,house_other,house_total,ballots_regular,ballots_absentee,ballots_cast,checklist_republican,checklist_democratic,checklist_undeclared,registered_voters,same_day_registered,turnout_pct,denominator_type,denominator_note,warning_required,source_url
NH,2024,Goshen,town_ward,Sullivan County,Goshen,162,309,6,477,138,316,9,463,2,167,283,1,451,433,51,484,233,96,260,589,54,82.17,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Grantham,town_ward,Sullivan County,Grantham,1660,768,38,2466,1472,933,31,2436,2,1641,791,1,2433,2109,374,2483,706,1183,1138,3027,148,82.03,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Langdon,town_ward,Sullivan County,Langdon,195,227,4,426,167,245,8,420,2,200,207,1,408,401,30,431,204,125,172,501,45,86.03,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Lempster,town_ward,Sullivan County,Lempster,318,435,10,763,286,435,15,736,2,339,402,0,741,678,93,771,320,178,420,918,59,83.99,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Newport,town_ward,Sullivan County,Newport,1305,1963,57,3325,1182,1965,121,3268,2,1402,1822,3,3227,3084,265,3349,1606,920,1580,4106,488,81.56,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Plainfield,town_ward,Sullivan County,Plainfield,1155,521,24,1700,1008,648,35,1691,2,1133,532,0,1665,1461,257,1718,388,681,852,1921,98,89.43,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Springfield,town_ward,Sullivan County,Springfield,444,479,8,931,387,528,22,937,2,451,479,2,932,848,105,953,383,263,440,1086,70,87.75,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Sunapee,town_ward,Sullivan County,Sunapee,1322,1126,66,2514,1073,1366,43,2482,2,1329,1131,1,2461,2035,495,2530,993,712,1448,3153,120,80.24,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Unity,town_ward,Sullivan County,Unity,304,583,23,910,285,572,41,898,2,306,548,0,854,818,95,913,437,219,414,1070,80,85.33,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Washington,town_ward,Sullivan County,Washington,351,515,20,886,302,547,23,872,2,350,494,0,844,796,91,887,371,163,531,1065,111,83.29,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
