ElectionId,Date,Description,Type,OfficialResults,CountyName,Name,PartyCode,PartyName,TicketCode,OfficeCode,OfficeDescription,District,DistrictName,Division,DivisionName,Votes,TotalVotes,Percentage
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Calhoun,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,2035,2617,77.76%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Calhoun,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,63,2617,2.41%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Calhoun,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,456,2617,17.42%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Calhoun,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,45,2617,1.72%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Clay,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,19,2972,0.64%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Clay,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,2300,2972,77.39%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Clay,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,60,2972,2.02%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Clay,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,568,2972,19.11%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Clay,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,25,2972,0.84%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Doddridge,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,18,2840,0.63%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Doddridge,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,2358,2840,83.03%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Doddridge,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,65,2840,2.29%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Doddridge,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,362,2840,12.75%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Doddridge,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,37,2840,1.30%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Fayette,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,67,15337,0.44%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Fayette,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,10357,15337,67.53%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Fayette,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,443,15337,2.89%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Fayette,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,4290,15337,27.97%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Fayette,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,180,15337,1.17%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Gilmer,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,10,2543,0.39%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Gilmer,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,1896,2543,74.56%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Gilmer,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,68,2543,2.67%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Gilmer,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,545,2543,21.43%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Gilmer,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,24,2543,0.94%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Grant,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,12,4956,0.24%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Grant,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,4346,4956,87.69%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Grant,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,65,4956,1.31%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Grant,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,512,4956,10.33%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Grant,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,21,4956,0.42%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Greenbrier,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,70,14066,0.50%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Greenbrier,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,9556,14066,67.94%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Greenbrier,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,475,14066,3.38%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Greenbrier,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,3765,14066,26.77%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Greenbrier,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,200,14066,1.42%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hampshire,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,37,8608,0.43%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hampshire,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,6692,8608,77.74%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hampshire,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,196,8608,2.28%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hampshire,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1580,8608,18.36%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hampshire,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,103,8608,1.20%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hancock,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,36,12702,0.28%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hancock,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,8909,12702,70.14%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hancock,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,370,12702,2.91%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hancock,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,3262,12702,25.68%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hancock,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,125,12702,0.98%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hardy,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,32,5643,0.57%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hardy,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,4274,5643,75.74%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hardy,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,140,5643,2.48%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hardy,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1155,5643,20.47%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Hardy,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,42,5643,0.74%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Harrison,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,148,27960,0.53%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Harrison,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,18750,27960,67.06%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Harrison,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,1041,27960,3.72%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Harrison,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,7694,27960,27.52%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Harrison,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,327,27960,1.17%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jackson,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,93,12187,0.76%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jackson,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,9020,12187,74.01%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jackson,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,305,12187,2.50%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jackson,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2663,12187,21.85%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jackson,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,106,12187,0.87%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jefferson,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,87,24147,0.36%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jefferson,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,13204,24147,54.68%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jefferson,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,1005,24147,4.16%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jefferson,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,9518,24147,39.42%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Jefferson,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,333,24147,1.38%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Kanawha,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,269,75690,0.36%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Kanawha,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,43850,75690,57.93%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Kanawha,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,2494,75690,3.30%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Kanawha,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,28263,75690,37.34%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Kanawha,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,814,75690,1.08%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lewis,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,29,6928,0.42%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lewis,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,5274,6928,76.13%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lewis,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,209,6928,3.02%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lewis,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1347,6928,19.44%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lewis,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,69,6928,1%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lincoln,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,47,7066,0.67%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lincoln,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,5307,7066,75.11%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lincoln,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,191,7066,2.70%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lincoln,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1459,7066,20.65%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Lincoln,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,62,7066,0.88%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Logan,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,48,12359,0.39%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Logan,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,9897,12359,80.08%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Logan,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,237,12359,1.92%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Logan,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2092,12359,16.93%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Logan,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,85,12359,0.69%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marion,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,131,23029,0.57%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marion,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,14668,23029,63.69%
