state,election_year,jurisdiction_name,trump,harris,other
NY,2024,Albany County,54560,92589,3856
NY,2024,Allegany County,14425,5802,361
NY,2024,Broome County,44763,45142,1918
NY,2024,Cattaraugus County,22586,11424,515
NY,2024,Cayuga County,20482,15772,531
NY,2024,Chautauqua County,34528,22085,908
NY,2024,Chemung County,21861,15572,570
NY,2024,Chenango County,14294,8177,305
NY,2024,Clinton County,18247,17478,513
NY,2024,Columbia County,15168,20396,762
NY,2024,Cortland County,11706,10290,334
NY,2024,Delaware County,13789,9237,375
NY,2024,Dutchess County,71778,79994,2803
NY,2024,Erie County,204774,248651,10154
NY,2024,Essex County,9533,9629,367
NY,2024,Franklin County,10569,8821,272
NY,2024,Fulton County,16237,7666,288
NY,2024,Genesee County,18997,9367,457
NY,2024,Greene County,14702,10436,550
NY,2024,Hamilton County,2223,1211,8
NY,2024,Herkimer County,19557,9110,357
NY,2024,Jefferson County,26417,16326,568
NY,2024,Lewis County,9353,3600,293
NY,2024,Livingston County,18780,12148,533
NY,2024,Madison County,19025,14629,611
NY,2024,Monroe County,145940,214757,7646
NY,2024,Montgomery County,13286,7356,280
NY,2024,Nassau County,368138,338453,16047
NY,2024,Niagara County,58678,43438,1457
NY,2024,Oneida County,60687,39415,1425
NY,2024,Onondaga County,93916,133155,4636
NY,2024,Ontario County,30221,29520,1073
NY,2024,Orange County,94936,80253,3317
NY,2024,Orleans County,12659,5366,276
NY,2024,Oswego County,33548,20483,681
NY,2024,Otsego County,15256,13031,496
NY,2024,Putnam County,31553,23956,912
NY,2024,Rensselaer County,38601,39668,1483
NY,2024,Rockland County,83543,65880,2826
NY,2024,St. Lawrence County,25919,18010,620
NY,2024,Saratoga County,63940,66321,2556
NY,2024,Schenectady County,31975,39733,1404
NY,2024,Schoharie County,10423,5547,261
NY,2024,Schuyler County,5717,3736,126
NY,2024,Seneca County,8379,6610,238
NY,2024,Steuben County,29777,15413,632
NY,2024,Suffolk County,417549,341812,11852
NY,2024,Sullivan County,20386,14549,709
NY,2024,Tioga County,15038,9437,364
NY,2024,Tompkins County,11354,34631,1322
NY,2024,Ulster County,39743,57974,2307
NY,2024,Warren County,18606,17099,613
NY,2024,Washington County,17268,11224,405
NY,2024,Wayne County,27286,17056,673
NY,2024,Westchester County,167795,287434,9752
NY,2024,Wyoming County,14112,4929,374
NY,2024,Yates County,6098,4401,201
NY,2024,Bronx County,98174,261670,7502
NY,2024,Kings County,233964,601265,26681
NY,2024,New York County,113921,533782,18896
NY,2024,Queens County,264628,437282,20027
NY,2024,Richmond County,128151,69345,4088
