state,election_year,jurisdiction_name,jurisdiction_code,level,trump,harris,bowman,de_la_cruz,fruit,kennedy,stein,other,total,source_url
TN,2024,Franklin County,Franklin County,county,15016,4529,39,20,6,99,19,183,19728,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Gibson County,Gibson County,county,16346,5100,58,11,8,103,22,202,21648,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Giles County,Giles County,county,10394,2974,16,7,5,71,20,119,13487,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Grainger County,Grainger County,county,9630,1432,8,2,1,47,10,68,11130,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Greene County,Greene County,county,25586,5145,61,16,18,212,57,364,31095,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Grundy County,Grundy County,county,5334,948,3,2,1,33,7,46,6328,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hamblen County,Hamblen County,county,20154,5132,32,19,4,118,42,215,25501,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hamilton County,Hamilton County,county,97195,74437,375,250,51,1451,679,2806,174438,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hancock County,Hancock County,county,2558,334,7,0,0,9,0,16,2908,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hardeman County,Hardeman County,county,5793,3527,10,6,2,51,10,79,9399,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hardin County,Hardin County,county,10293,1704,8,5,3,65,16,97,12094,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hawkins County,Hawkins County,county,22066,3987,45,15,8,115,30,213,26266,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
