state,election_year,county,jurisdiction_tag,local_unit,level,dem_candidate,rep_candidate,dem_votes,rep_votes,other_votes,total_votes,comparison_contest,comparison_dem_candidate,comparison_rep_candidate,comparison_dem_votes,comparison_rep_votes,comparison_other_votes,coverage_mode,source_id,comparison_source_id,source_url
NC,2016,Alamance County,county:37001,Alamance County,county,Hillary Clinton,Donald J. Trump,29833,38815,2509,71157,US SENATE,Deborah K. Ross,Richard Burr,28873,39380,2368,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Alexander County,county:37003,Alexander County,county,Hillary Clinton,Donald J. Trump,3767,13893,611,18271,US SENATE,Deborah K. Ross,Richard Burr,3895,13271,929,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Alleghany County,county:37005,Alleghany County,county,Hillary Clinton,Donald J. Trump,1306,3814,195,5315,US SENATE,Deborah K. Ross,Richard Burr,1337,3720,229,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Anson County,county:37007,Anson County,county,Hillary Clinton,Donald J. Trump,5859,4506,180,10545,US SENATE,Deborah K. Ross,Richard Burr,5793,4383,250,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Ashe County,county:37009,Ashe County,county,Hillary Clinton,Donald J. Trump,3500,9412,512,13424,US SENATE,Deborah K. Ross,Richard Burr,3575,9253,511,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Avery County,county:37011,Avery County,county,Hillary Clinton,Donald J. Trump,1689,6298,262,8249,US SENATE,Deborah K. Ross,Richard Burr,1705,6071,318,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Beaufort County,county:37013,Beaufort County,county,Hillary Clinton,Donald J. Trump,8764,14543,631,23938,US SENATE,Deborah K. Ross,Richard Burr,8436,14313,870,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Bertie County,county:37015,Bertie County,county,Hillary Clinton,Donald J. Trump,5778,3456,113,9347,US SENATE,Deborah K. Ross,Richard Burr,5590,3446,147,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Bladen County,county:37017,Bladen County,county,Hillary Clinton,Donald J. Trump,7058,8550,289,15897,US SENATE,Deborah K. Ross,Richard Burr,6999,8242,394,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
NC,2016,Brunswick County,county:37019,Brunswick County,county,Hillary Clinton,Donald J. Trump,23282,42720,2349,68351,US SENATE,Deborah K. Ross,Richard Burr,22370,42112,2824,presidentVsUSSenateCounty,nc-2016-results-precinct-zip,nc-2016-results-precinct-zip,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2016_11_08/results_pct_20161108.zip
