state,election_year,jurisdiction_name,jurisdiction_code,level,harris,trump,other,total_votes,source_url
ND,2024,Adams,01,county,215,962,24,1201,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,02,county,1661,3531,147,5339,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,03,county,795,1163,44,2002,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Billings,04,county,93,543,11,647,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Bottineau,05,county,735,2628,84,3447,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Bowman,06,county,207,1384,27,1618,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Burke,07,county,130,909,17,1056,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Burleigh,08,county,14215,36595,1453,52263,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Cass,09,county,40304,47873,2674,90851,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Cavalier,10,county,491,1461,35,1987,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Dickey,11,county,557,1829,67,2453,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Divide,12,county,253,914,34,1201,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Dunn,13,county,332,1877,33,2242,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Eddy,14,county,316,862,27,1205,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Emmons,15,county,205,1697,28,1930,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Foster,16,county,335,1326,42,1703,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Golden Valley,17,county,122,847,22,991,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Grand Forks,18,county,12469,18123,819,31411,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Grant,19,county,205,1076,25,1306,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Griggs,20,county,301,963,25,1289,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Hettinger,21,county,192,1089,25,1306,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Kidder,22,county,238,1137,23,1398,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,LaMoure,23,county,453,1614,56,2123,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Logan,24,county,117,898,18,1033,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,McHenry,25,county,479,2223,50,2752,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,McIntosh,26,county,229,1132,29,1390,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,McKenzie,27,county,809,4627,85,5521,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,McLean,28,county,1093,4231,97,5421,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
