state,election_year,jurisdiction_name,jurisdiction_code,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
CO,2012,Yuma County,,co-2012-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,987,3490,100,4577,https://historicalelectiondata.coloradosos.gov/contest/5017
CO,2016,Adams County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,96558,80082,17037,193677,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Alamosa County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,3189,3046,704,6939,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Arapahoe County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,159885,117053,26110,303048,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Archuleta County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,2500,4264,575,7339,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Baca County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,283,1753,117,2153,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Bent County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,590,1188,149,1927,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Boulder County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,132334,41396,14415,188145,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Broomfield County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,19731,14367,3592,37690,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Chaffee County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,4888,5391,971,11250,https://historicalelectiondata.coloradosos.gov/contest/4436
CO,2016,Cheyenne County,,co-2016-general-president-list,county,coloradoHistoricalElectionDataContestCsvCountyAggregate,132,925,45,1102,https://historicalelectiondata.coloradosos.gov/contest/4436
