state,election_year,jurisdiction_name,comparison_rep,comparison_dem,comparison_other
NE,2024,Adams,10438,3715,0
NE,2024,Antelope,3066,342,0
NE,2024,Arthur,267,18,0
NE,2024,Banner,357,25,0
NE,2024,Blaine,261,29,0
NE,2024,Boone,2569,423,0
NE,2024,Box Butte,3876,985,0
NE,2024,Boyd,849,207,0
NE,2024,Brown,1457,170,0
NE,2024,Buffalo,17707,5791,0
NE,2024,Burt,2696,888,0
NE,2024,Butler,3758,749,0
NE,2024,Cass,10808,4606,0
NE,2024,Cedar,4263,614,0
NE,2024,Chase,1669,165,0
NE,2024,Cherry,2671,306,0
NE,2024,Cheyenne,3689,733,0
NE,2024,Clay,2767,506,0
NE,2024,Colfax,2713,772,0
NE,2024,Cuming,3720,664,0
NE,2024,Custer,5206,632,0
NE,2024,Dakota,4067,1981,0
NE,2024,Dawes,2922,884,0
NE,2024,Dawson,6579,1887,0
NE,2024,Deuel,851,143,0
NE,2024,Dixon,2314,520,0
NE,2024,Dodge,11195,4991,0
NE,2024,Douglas,127726,142256,0
NE,2024,Dundy,834,79,0
NE,2024,Fillmore,2435,557,0
NE,2024,Franklin,1395,195,0
NE,2024,Frontier,1231,158,0
NE,2024,Furnas,2096,308,0
NE,2024,Gage,7795,3015,0
NE,2024,Garden,972,131,0
NE,2024,Garfield,902,85,0
NE,2024,Gosper,971,157,0
NE,2024,Grant,345,13,0
NE,2024,Greeley,1049,158,0
NE,2024,Hall,16100,6273,0
NE,2024,Hamilton,4585,927,0
NE,2024,Harlan,1558,233,0
NE,2024,Hayes,472,21,0
NE,2024,Hitchcock,1271,150,0
NE,2024,Holt,4818,589,0
NE,2024,Hooker,370,50,0
NE,2024,Howard,2925,590,0
NE,2024,Jefferson,2786,813,0
NE,2024,Johnson,1556,563,0
NE,2024,Kearney,2963,627,0
NE,2024,Keith,3486,656,0
NE,2024,Keya Paha,498,34,0
NE,2024,Kimball,1444,242,0
NE,2024,Knox,3727,662,0
NE,2024,Lancaster,77189,78598,0
NE,2024,Lincoln,13034,3296,0
NE,2024,Logan,417,25,0
NE,2024,Loup,364,64,0
NE,2024,Madison,12376,3054,0
NE,2024,McPherson,268,11,0
NE,2024,Merrick,3645,654,0
NE,2024,Morrill,2047,332,0
NE,2024,Nance,1473,306,0
NE,2024,Nemaha,2490,869,0
NE,2024,Nuckolls,1894,328,0
NE,2024,Otoe,5717,2331,0
NE,2024,Pawnee,1078,282,0
NE,2024,Perkins,1247,158,0
NE,2024,Phelps,4283,657,0
NE,2024,Pierce,3471,398,0
NE,2024,Platte,12709,2818,0
NE,2024,Polk,2360,448,0
NE,2024,Red Willow,3919,1338,0
NE,2024,Richardson,2980,847,0
NE,2024,Rock,746,64,0
NE,2024,Saline,3809,1765,0
NE,2024,Sarpy,57907,41332,0
NE,2024,Saunders,10081,3240,0
NE,2024,Scotts Bluff,11302,3599,0
NE,2024,Seward,6981,2157,0
NE,2024,Sheridan,2123,319,0
NE,2024,Sherman,1367,286,0
NE,2024,Sioux,612,60,0
NE,2024,Stanton,2599,447,0
NE,2024,Thayer,2384,452,0
NE,2024,Thomas,346,41,0
NE,2024,Thurston,1234,825,0
NE,2024,Valley,1935,321,0
NE,2024,Washington,9145,3239,0
NE,2024,Wayne,3160,894,0
NE,2024,Webster,1477,262,0
NE,2024,Wheeler,419,49,0
NE,2024,York,5470,1448,0
