state,election_year,county,local_unit,source_county_id,source_unit_id,source_unit_name,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total
SD,2024,Lincoln,0025 25,44,0025,25,328,796,33,1157,246,891,0,1137
SD,2024,Lincoln,0026 26,44,0026,26,129,358,15,502,106,387,0,493
SD,2024,Lincoln,0027 27,44,0027,27,577,1221,51,1849,474,1325,0,1799
SD,2024,Lincoln,0030 30,44,0030,30,176,321,10,507,144,357,0,501
SD,2024,Lincoln,0041 Sioux Falls 1-11,44,0041,Sioux Falls 1-11,619,1010,24,1653,412,1243,0,1655
SD,2024,Lincoln,0042 Sioux Falls 2-10,44,0042,Sioux Falls 2-10,649,1049,30,1728,435,1301,0,1736
SD,2024,Lincoln,0051 Sioux Falls 1-12,44,0051,Sioux Falls 1-12,575,810,28,1413,479,906,0,1385
SD,2024,Lincoln,0052 Sioux Falls 2-11,44,0052,Sioux Falls 2-11,941,1260,35,2236,680,1554,0,2234
SD,2024,Lincoln,0061 Sioux Falls 1-13,44,0061,Sioux Falls 1-13,343,388,32,763,306,436,0,742
SD,2024,Lincoln,0062 Sioux Falls 2-12,44,0062,Sioux Falls 2-12,420,477,21,918,326,588,0,914
SD,2024,Lincoln,0071 Sioux Falls 1-16,44,0071,Sioux Falls 1-16,340,466,18,824,281,527,0,808
SD,2024,Lincoln,0072 Sioux Falls 2-13,44,0072,Sioux Falls 2-13,1105,1229,34,2368,850,1476,0,2326
SD,2024,Lincoln,0081 Sioux Falls 1-14,44,0081,Sioux Falls 1-14,445,686,31,1162,369,758,0,1127
SD,2024,Lincoln,0082 Sioux Falls 2-15,44,0082,Sioux Falls 2-15,536,911,32,1479,384,1079,0,1463
SD,2024,Lincoln,0083 Sioux Falls 1-18,44,0083,Sioux Falls 1-18,615,1005,40,1660,449,1184,0,1633
SD,2024,Lincoln,0084 Sioux Falls 1-15,44,0084,Sioux Falls 1-15,449,494,27,970,367,602,0,969
SD,2024,Lincoln,0085 29,44,0085,29,508,1118,37,1663,371,1255,0,1626
SD,2024,Lincoln,0086 Sioux Falls 2-16,44,0086,Sioux Falls 2-16,1151,1585,56,2792,941,1804,0,2745
SD,2024,Lincoln,0087 Sioux Falls 1-20,44,0087,Sioux Falls 1-20,284,477,21,782,225,538,0,763
SD,2024,Lincoln,0088 24-02,44,0088,24-02,330,671,12,1013,222,766,0,988
SD,2024,Lincoln,0089 24-03,44,0089,24-03,274,576,20,870,237,612,0,849
SD,2024,Lyman,0001 Precinct-01,45,0001,Precinct-01,8,64,0,72,8,52,0,60
SD,2024,Lyman,0004 Precinct-04,45,0004,Precinct-04,88,211,8,307,62,246,0,308
SD,2024,Lyman,0006 Precinct-06,45,0006,Precinct-06,32,108,4,144,26,117,0,143
SD,2024,Lyman,0007 Precinct-07,45,0007,Precinct-07,176,27,6,209,139,68,0,207
SD,2024,Lyman,0009 Precinct-09,45,0009,Precinct-09,35,208,5,248,24,217,0,241
SD,2024,Lyman,0012 Precinct-12,45,0012,Precinct-12,66,292,8,366,45,319,0,364
SD,2024,Lyman,0013 Precinct-13,45,0013,Precinct-13,16,83,1,100,14,80,0,94
SD,2024,Marshall,0001 Precinct-A1,48,0001,Precinct-A1,88,128,3,219,73,140,0,213
SD,2024,Marshall,0002 Precinct-A2,48,0002,Precinct-A2,78,109,3,190,62,132,0,194
SD,2024,Marshall,0003 Precinct-A3,48,0003,Precinct-A3,72,105,5,182,57,120,0,177
SD,2024,Marshall,0004 Precinct-A4,48,0004,Precinct-A4,118,145,3,266,81,189,0,270
SD,2024,Marshall,0005 Precinct-A5,48,0005,Precinct-A5,80,105,2,187,68,117,0,185
SD,2024,Marshall,0006 Precinct-A6,48,0006,Precinct-A6,128,190,9,327,102,224,0,326
SD,2024,Marshall,0007 Precinct-A7,48,0007,Precinct-A7,63,130,0,193,42,149,0,191
SD,2024,Marshall,0008 Precinct-A8,48,0008,Precinct-A8,62,174,3,239,37,204,0,241
SD,2024,Marshall,0009 Precinct-A9,48,0009,Precinct-A9,93,201,11,305,87,213,0,300
SD,2024,McCook,0001 Precinct-01,46,0001,Precinct-01,192,429,7,628,146,475,0,621
SD,2024,McCook,0002 Precinct-02,46,0002,Precinct-02,50,121,4,175,36,139,0,175
SD,2024,McCook,0003 Precinct-03,46,0003,Precinct-03,168,454,27,649,122,528,0,650
SD,2024,McCook,0004 Precinct-04,46,0004,Precinct-04,81,436,10,527,64,462,0,526
SD,2024,McCook,0005 Precinct-05,46,0005,Precinct-05,168,483,16,667,134,524,0,658
