Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Absentee Mail Blank Votes,Absentee Walk-in Blank Votes,Election Blank Votes,Absentee Mail Over Votes,Absentee Walk-in Over Votes,Election Over Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Absentee Mail Votes,Absentee Walk-in Votes,Election Votes,Total Votes
47,"Councilmember, Dist 3, County of Hawaii",47,"OF",,357,73,168,1,0,0,749917,5,5,115,"KELII, Moana M.H.",1,"",1480,437,1092,3009
48,"Councilmember, Dist 4, County of Hawaii",48,"OF",,313,71,218,0,0,1,749917,4,4,118,"OHARA, Eileen",2,"",1487,397,1521,3405
48,"Councilmember, Dist 4, County of Hawaii",48,"OF",,313,71,218,0,0,1,749917,4,4,117,"GREENE, Madie",1,"",1156,354,1351,2861
49,"Councilmember (East Maui)",49,"OF",,3193,892,4459,5,2,8,749917,34,34,119,"CARROLL, Robert (Bob)",1,"",10914,2401,11958,25273
49,"Councilmember (East Maui)",49,"OF",,3193,892,4459,5,2,8,749917,34,34,120,"SINENCI, Shane",2,"",7217,1831,10071,19119
50,"Councilmember (West Maui)",50,"OF",,3297,894,4202,7,0,6,749917,34,34,122,"COCHRAN, Elle",2,"",12740,3028,16202,31970
50,"Councilmember (West Maui)",50,"OF",,3297,894,4202,7,0,6,749917,34,34,121,"BALINBIN, Ernest Z. Kanamu",1,"",5285,1204,6086,12575
51,"Councilmember (Wailuku-Waihee-Waikapu)",51,"OF",,2567,702,3836,7,1,3,749917,34,34,123,"ATAY, Alika",1,"",8426,2281,12615,23322
51,"Councilmember (Wailuku-Waihee-Waikapu)",51,"OF",,2567,702,3836,7,1,3,749917,34,34,124,"KANE, Dain P.",2,"",10329,2142,10042,22513
52,"Councilmember (Kahului)",52,"OF",,3233,898,4259,7,0,3,749917,34,34,125,"GUZMAN, Don S.",1,"",12347,2807,15610,30764
52,"Councilmember (Kahului)",52,"OF",,3233,898,4259,7,0,3,749917,34,34,126,"MEDEIROS, Vanessa A.",2,"",5742,1421,6624,13787
53,"Councilmember (South Maui)",53,"OF",,2463,684,3558,5,4,4,749917,34,34,128,"KING, Kelly Takaya",2,"",9720,2317,11604,23641
53,"Councilmember (South Maui)",53,"OF",,2463,684,3558,5,4,4,749917,34,34,127,"COUCH, Don",1,"",9141,2121,11330,22592
54,"Councilmember (Makawao-Haiku-Paia)",54,"OF",,2437,704,3619,8,2,12,749917,34,34,130,"WHITE, Mike",2,"",11352,2334,12085,25771
54,"Councilmember (Makawao-Haiku-Paia)",54,"OF",,2437,704,3619,8,2,12,749917,34,34,129,"FURTADO, Trinette K.",1,"",7532,2086,10780,20398
55,"Councilmember (Upcountry)",55,"OF",,2527,796,4127,8,5,11,749917,34,34,132,"SUGIMURA, Yuki Lei Kashiwa",2,"",10662,2197,10405,23264
55,"Councilmember (Upcountry)",55,"OF",,2527,796,4127,8,5,11,749917,34,34,131,"GREIG-NAKASONE, Napua",1,"",8132,2128,11953,22213
56,"Councilmember (Lanai)",56,"OF",,3810,1110,5650,8,1,8,749917,34,34,133,"HOKAMA, Riki",1,"",10163,2103,11006,23272
56,"Councilmember (Lanai)",56,"OF",,3810,1110,5650,8,1,8,749917,34,34,134,"JOHNSON, Gabe",2,"",7348,1912,9832,19092
57,"Councilmember (Molokai)",57,"OF",,4531,1148,6003,4,3,3,749917,34,34,135,"CRIVELLO, Stacy Helm",1,"",9645,2228,10890,22763
57,"Councilmember (Molokai)",57,"OF",,4531,1148,6003,4,3,3,749917,34,34,136,"RAWLINS-FERNANDEZ, Keani",2,"",7149,1747,9600,18496
58,"Prosecuting Attorney, County of Kauai",58,"OF",,1355,491,1739,2,1,5,749917,16,16,138,"KOLLAR, Justin F.",2,"",5080,2253,5013,12346
