Office,Parish,Ward,Precinct,"Quentin Anthony Anderson (DEM)","Cleo Fields (DEM)","Elbert Guillory (REP)","Wilken Jones, Jr. (DEM)","Peter Williams (DEM)"
"U. S. Representative -- 6th Congressional District","Rapides","00","C21 LZ","25","187","37","4","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","C24","16","164","76","2","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","C25","31","171","94","6","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","C26","17","79","112","4","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","C27","29","100","100","1","8"
"U. S. Representative -- 6th Congressional District","Rapides","00","C28","19","121","46","3","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","C30","27","103","144","4","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","C31","20","92","156","2","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","C32","27","104","158","2","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","C33","25","100","180","4","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","C34","17","52","148","3","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","C36 AK","5","94","198","2","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","C36 LZ","18","62","210","2","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","C38A","12","48","30","5","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","C38B","33","152","172","5","9"
"U. S. Representative -- 6th Congressional District","Rapides","00","C39","17","61","33","0","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","C40","26","83","30","4","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","C42","32","113","354","4","9"
"U. S. Representative -- 6th Congressional District","Rapides","00","N01","6","28","30","2","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","N02","17","73","45","3","7"
"U. S. Representative -- 6th Congressional District","Rapides","00","N03","26","107","76","3","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","N04","14","81","56","1","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","N05","18","75","162","1","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N06","17","110","233","2","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N07","5","14","49","0","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N08 AK","14","53","77","0","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N08 LZ","12","43","78","3","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","N09","23","59","104","0","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","N10 AK","18","51","143","5","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","N10 LZ","13","56","195","6","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","N11","7","40","131","1","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","N12","18","91","285","3","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N13A","7","44","149","1","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","N13B","16","63","197","4","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","N14A","3","16","60","0","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","N14B","6","11","46","1","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N15","10","41","151","4","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N16","7","43","155","3","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","N17","4","27","221","1","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","N18A","29","87","349","1","7"
"U. S. Representative -- 6th Congressional District","Rapides","00","N18B","21","58","328","6","10"
"U. S. Representative -- 6th Congressional District","Rapides","00","N19 AK","14","60","236","8","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","N19 LZ","11","41","225","4","8"
"U. S. Representative -- 6th Congressional District","Rapides","00","N20 AK","10","51","263","4","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N20 LZ","5","45","250","0","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N21","2","32","125","0","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N22","6","19","184","1","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","N23","9","43","412","2","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","N24 AK","9","50","396","1","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","N24 LZ","5","32","330","5","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","N25","3","31","316","2","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","N26 AK","8","46","242","2","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N26 LZ","10","40","246","2","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","N27","16","89","515","3","6"
"U. S. Representative -- 6th Congressional District","Rapides","00","N28","8","50","289","4","5"
"U. S. Representative -- 6th Congressional District","Rapides","00","N29","4","26","174","1","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","S01","9","78","168","2","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","S02","4","15","95","1","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","S04","22","149","41","6","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","S05","2","9","68","0","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","S06A","11","46","174","1","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","S06B","2","27","33","1","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","S15","15","77","297","3","4"
"U. S. Representative -- 6th Congressional District","Rapides","00","S16","9","79","429","0","3"
"U. S. Representative -- 6th Congressional District","Rapides","00","S17","3","23","66","0","2"
"U. S. Representative -- 6th Congressional District","Rapides","00","S18","13","105","36","3","1"
"U. S. Representative -- 6th Congressional District","Rapides","00","S19","6","24","85","0","0"
"U. S. Representative -- 6th Congressional District","Rapides","00","S20","20","195","56","2","6"
"U. S. Representative -- 6th Congressional District","Rapides","Early Voting","","1015","6177","10665","137","326"
"U. S. Representative -- 6th Congressional District","Rapides","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","01","3","52","46","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","01A","3","9","98","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","01B","7","30","32","2","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","01C","5","14","79","1","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","01D","1","9","54","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","02","9","96","100","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","02A","1","12","42","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","02B","7","102","13","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","02C","3","14","92","1","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","03","11","171","88","3","15"
"U. S. Representative -- 6th Congressional District","St. Landry","00","04","8","55","436","6","8"
"U. S. Representative -- 6th Congressional District","St. Landry","00","04A","0","1","32","1","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","04B","3","6","65","0","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","05","2","21","24","1","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","06","15","122","111","12","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","07","2","20","270","1","9"
"U. S. Representative -- 6th Congressional District","St. Landry","00","07A","4","39","141","2","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","08","10","103","180","7","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","09","26","403","203","29","10"
"U. S. Representative -- 6th Congressional District","St. Landry","00","09A","1","5","30","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","10","14","123","169","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","10A","4","37","40","1","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","11","14","164","59","8","6"
"U. S. Representative -- 6th Congressional District","St. Landry","00","11B","11","82","6","2","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","12","18","225","44","9","4"
"U. S. Representative -- 6th Congressional District","St. Landry","00","13","6","46","134","4","4"
"U. S. Representative -- 6th Congressional District","St. Landry","00","13A","1","4","64","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","14","9","32","173","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","14A","5","32","133","0","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","14B","12","103","125","4","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","15","18","150","318","6","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","16","4","23","328","0","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","16A","3","7","128","1","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","17","7","41","283","1","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","18","21","273","230","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","18A","3","27","30","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","18B","9","56","99","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","19","9","93","11","2","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","19A","7","92","19","4","4"
"U. S. Representative -- 6th Congressional District","St. Landry","00","20","9","140","60","4","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","20B","6","102","55","4","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","21","12","83","34","6","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","21A","1","22","8","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","22","22","226","61","10","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","22B","4","38","8","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","23","14","231","37","5","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","23A","17","198","26","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","24","10","174","158","3","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","24B","7","95","132","3","4"
"U. S. Representative -- 6th Congressional District","St. Landry","00","25","27","304","39","7","6"
"U. S. Representative -- 6th Congressional District","St. Landry","00","26","13","134","93","8","8"
"U. S. Representative -- 6th Congressional District","St. Landry","00","26A","8","63","22","3","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","27","27","143","194","5","9"
"U. S. Representative -- 6th Congressional District","St. Landry","00","28","12","81","157","3","7"
"U. S. Representative -- 6th Congressional District","St. Landry","00","29","24","148","270","4","6"
"U. S. Representative -- 6th Congressional District","St. Landry","00","29A","2","9","22","1","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","30","3","21","199","1","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","30A","18","102","296","0","7"
"U. S. Representative -- 6th Congressional District","St. Landry","00","30B","3","25","142","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","31","15","146","206","2","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","32","12","128","360","7","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","32A","4","30","41","0","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","33","20","184","321","6","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","33A","6","44","48","1","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","34","6","54","171","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","34A","6","30","164","0","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","35","51","359","384","11","15"
"U. S. Representative -- 6th Congressional District","St. Landry","00","36","13","225","64","2","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","37","9","43","168","0","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","37A","8","62","156","1","3"
"U. S. Representative -- 6th Congressional District","St. Landry","00","38","5","70","198","3","6"
"U. S. Representative -- 6th Congressional District","St. Landry","00","39","20","79","464","4","7"
"U. S. Representative -- 6th Congressional District","St. Landry","00","39A","1","2","43","1","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","40","14","60","214","2","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","41","14","69","408","3","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","41A","5","28","32","1","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","42","3","36","146","1","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","43","23","94","388","2","8"
"U. S. Representative -- 6th Congressional District","St. Landry","00","44","4","37","145","1","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","44A","6","22","33","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","44B","5","78","62","1","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","45","9","52","188","2","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","46","10","33","131","3","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","47","9","62","159","1","5"
"U. S. Representative -- 6th Congressional District","St. Landry","00","48","17","84","53","6","1"
"U. S. Representative -- 6th Congressional District","St. Landry","00","49","14","99","118","3","12"
"U. S. Representative -- 6th Congressional District","St. Landry","00","50","11","74","14","1","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","50A","3","12","25","0","0"
"U. S. Representative -- 6th Congressional District","St. Landry","00","51","18","127","38","4","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","51A","0","12","17","0","2"
"U. S. Representative -- 6th Congressional District","St. Landry","00","52","14","63","227","4","6"
"U. S. Representative -- 6th Congressional District","St. Landry","Early Voting","","573","5807","8020","167","195"
"U. S. Representative -- 6th Congressional District","St. Landry","Provisional Votes","","1","1","1","0","0"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","01A","21","187","273","3","6"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","01B","23","155","95","4","6"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","01C","4","20","27","0","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","01D","51","279","178","14","12"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","01E","14","57","54","4","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","02A","5","46","28","1","0"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","02B","25","104","243","2","2"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","03","4","17","62","3","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","04A","10","68","116","2","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","04B","3","19","14","0","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","05","3","26","70","1","2"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","06","4","29","2","0","0"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","07A","9","51","126","4","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","07B","1","38","25","0","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","08","14","200","42","2","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","09","3","52","49","2","2"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","10","2","25","61","1","2"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","11","4","27","58","0","5"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","13A","27","239","26","6","5"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","13B","4","48","0","0","1"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","14A","14","130","13","3","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","14B","4","12","22","0","0"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","15","19","246","8","1","6"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","16","21","114","111","2","6"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","17","5","51","31","2","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","18","14","100","99","2","3"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","19","12","120","108","2","2"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","20","3","73","161","3","7"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","21","10","69","165","4","4"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","00","22","24","195","243","4","10"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","Early Voting","","371","2893","4160","45","132"
"U. S. Representative -- 6th Congressional District","West Baton Rouge","Provisional Votes","","0","0","0","0","0"
