Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Orleans","08","15","286","77","8","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","19","262","56","9","10","5"
"U. S. Representative -- 2nd Congressional District","Orleans","08","20","114","40","9","6","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","21","114","35","2","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","22","89","27","6","7","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","23","132","19","7","9","3"
"U. S. Representative -- 2nd Congressional District","Orleans","08","24","127","43","3","8","0"
"U. S. Representative -- 2nd Congressional District","Orleans","08","25","178","56","8","6","4"
"U. S. Representative -- 2nd Congressional District","Orleans","08","26","155","44","2","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","27","176","36","7","3","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","28","136","26","20","18","6"
"U. S. Representative -- 2nd Congressional District","Orleans","08","30","201","34","8","3","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","01","229","92","3","9","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","03","194","29","11","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","04","146","33","2","0","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","05","211","24","5","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","06","316","45","2","3","6"
"U. S. Representative -- 2nd Congressional District","Orleans","09","07","159","61","2","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","08","183","40","2","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","09","101","90","3","12","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","10","237","110","3","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","11","70","82","4","1","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","12","104","77","5","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","13","99","86","8","9","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","14","84","72","1","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","15","134","81","6","4","5"
"U. S. Representative -- 2nd Congressional District","Orleans","09","16","114","93","2","4","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","17","189","65","1","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","19","109","134","7","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","21","240","90","7","6","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","23","106","34","4","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","25","235","38","4","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","26","114","17","4","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","28","136","9","0","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","28C","146","28","3","1","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","29","49","13","3","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","30","142","14","20","24","6"
"U. S. Representative -- 2nd Congressional District","Orleans","09","30A","95","12","2","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","31","101","13","3","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","31A","158","24","4","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","31B","113","22","0","2","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","31D","173","18","6","2","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","32","35","8","0","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","33","237","29","4","0","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","34A","120","18","2","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","35","44","8","0","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","35A","55","10","0","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","36","165","22","2","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","36B","199","30","4","4","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","37","121","18","5","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","38","103","19","1","3","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","38A","113","19","4","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","39","207","23","10","8","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","39B","99","7","2","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","40","140","18","1","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","40A","199","28","12","12","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","40C","129","21","5","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","41","205","26","23","30","6"
"U. S. Representative -- 2nd Congressional District","Orleans","09","41A","41","9","20","25","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","41B","209","40","40","36","11"
"U. S. Representative -- 2nd Congressional District","Orleans","09","41C","96","14","35","49","6"
"U. S. Representative -- 2nd Congressional District","Orleans","09","41D","68","15","22","45","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","42","325","40","7","4","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","42C","229","37","0","2","6"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43A","283","60","4","6","4"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43B","145","13","3","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43C","217","24","3","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43E","95","22","0","3","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43F","170","22","6","2","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43G","138","11","2","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43H","64","7","4","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43I","129","17","4","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43J","144","11","1","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43K","167","31","4","0","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43L","125","22","2","2","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43M","255","36","4","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","43N","126","20","0","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44","158","28","4","3","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44A","122","18","3","3","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44B","234","43","4","6","0"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44D","202","18","2","2","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44E","266","32","3","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44F","259","37","6","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44G","194","30","2","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44I","112","18","12","8","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44J","165","27","9","3","1"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44L","162","23","2","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44M","131","10","16","13","3"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44N","182","15","4","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44O","214","35","6","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44P","259","33","15","22","10"
"U. S. Representative -- 2nd Congressional District","Orleans","09","44Q","177","33","3","1","3"
"U. S. Representative -- 2nd Congressional District","Orleans","10","03","267","73","12","21","1"
"U. S. Representative -- 2nd Congressional District","Orleans","10","06","166","70","10","16","4"
"U. S. Representative -- 2nd Congressional District","Orleans","10","07","63","48","7","3","6"
"U. S. Representative -- 2nd Congressional District","Orleans","10","08","82","31","13","16","5"
"U. S. Representative -- 2nd Congressional District","Orleans","10","09","104","34","20","19","4"
"U. S. Representative -- 2nd Congressional District","Orleans","10","11","171","43","10","18","5"
"U. S. Representative -- 2nd Congressional District","Orleans","10","12","118","48","2","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","10","13","118","24","2","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","10","14","104","13","4","2","0"
"U. S. Representative -- 2nd Congressional District","Orleans","11","02","182","94","12","12","5"
"U. S. Representative -- 2nd Congressional District","Orleans","11","03","91","47","5","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","11","12","118","46","3","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","11","13","119","12","2","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","11","14","282","42","4","2","0"
"U. S. Representative -- 2nd Congressional District","Orleans","11","17","206","30","2","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","12","01","122","69","13","7","2"
"U. S. Representative -- 2nd Congressional District","Orleans","12","02","190","51","4","12","0"
"U. S. Representative -- 2nd Congressional District","Orleans","12","03","145","49","7","15","2"
"U. S. Representative -- 2nd Congressional District","Orleans","12","04","107","35","12","16","5"
"U. S. Representative -- 2nd Congressional District","Orleans","12","11","191","65","18","11","3"
"U. S. Representative -- 2nd Congressional District","Orleans","12","12","121","48","10","11","2"
"U. S. Representative -- 2nd Congressional District","Orleans","12","13","100","24","2","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","12","14","182","88","12","10","0"
"U. S. Representative -- 2nd Congressional District","Orleans","12","16","176","61","3","4","0"
"U. S. Representative -- 2nd Congressional District","Orleans","12","17","206","74","5","9","2"
"U. S. Representative -- 2nd Congressional District","Orleans","12","19","163","52","2","7","1"
"U. S. Representative -- 2nd Congressional District","Orleans","13","01","126","47","6","14","1"
"U. S. Representative -- 2nd Congressional District","Orleans","13","02","143","53","10","10","6"
"U. S. Representative -- 2nd Congressional District","Orleans","13","03","144","58","14","18","2"
"U. S. Representative -- 2nd Congressional District","Orleans","13","04","165","49","21","25","1"
"U. S. Representative -- 2nd Congressional District","Orleans","13","06","124","31","15","27","2"
"U. S. Representative -- 2nd Congressional District","Orleans","13","09","131","45","24","44","3"
"U. S. Representative -- 2nd Congressional District","Orleans","13","10","135","42","16","25","6"
"U. S. Representative -- 2nd Congressional District","Orleans","13","11","186","83","10","22","3"
"U. S. Representative -- 2nd Congressional District","Orleans","13","12","101","60","10","7","1"
"U. S. Representative -- 2nd Congressional District","Orleans","13","13","103","40","12","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","13","14","173","50","11","10","5"
"U. S. Representative -- 2nd Congressional District","Orleans","13","15","112","54","10","16","5"
"U. S. Representative -- 2nd Congressional District","Orleans","13","16","140","83","11","20","2"
"U. S. Representative -- 2nd Congressional District","Orleans","14","12","107","35","13","21","1"
"U. S. Representative -- 2nd Congressional District","Orleans","14","19","122","54","22","22","3"
"U. S. Representative -- 2nd Congressional District","Orleans","14","23","134","42","2","9","5"
"U. S. Representative -- 2nd Congressional District","Orleans","14","24A","191","67","25","16","0"
"U. S. Representative -- 2nd Congressional District","Orleans","14","25","164","52","6","17","0"
"U. S. Representative -- 2nd Congressional District","Orleans","14","26","144","30","2","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","01","48","28","7","11","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","02","141","84","20","36","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","03","60","29","7","13","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","05","116","19","4","2","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","06","125","35","4","9","7"
"U. S. Representative -- 2nd Congressional District","Orleans","15","08","77","16","2","1","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","09","120","31","1","0","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","10","216","24","3","0","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","11","190","14","3","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","12","93","9","8","4","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","12A","156","17","4","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","13","132","15","1","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","13A","190","13","7","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","13B","265","26","2","5","3"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14","140","16","17","22","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14A","101","20","9","9","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14B","141","12","8","10","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14C","133","16","13","15","3"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14D","74","13","2","8","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14E","215","17","11","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14F","100","16","6","10","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","14G","198","16","4","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","15","157","27","9","8","6"
"U. S. Representative -- 2nd Congressional District","Orleans","15","15A","144","17","13","18","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","15B","103","9","9","24","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","16","162","24","11","16","6"
"U. S. Representative -- 2nd Congressional District","Orleans","15","17","143","23","13","34","5"
"U. S. Representative -- 2nd Congressional District","Orleans","15","17A","107","26","7","20","2"
"U. S. Representative -- 2nd Congressional District","Orleans","15","17B","140","15","22","38","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18","99","25","16","20","5"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18A","163","23","12","33","3"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18B","243","16","14","14","6"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18C","177","14","13","29","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18D","326","33","8","10","4"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18E","271","50","30","55","6"
"U. S. Representative -- 2nd Congressional District","Orleans","15","18F","355","47","35","38","6"
"U. S. Representative -- 2nd Congressional District","Orleans","15","19","184","9","2","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","15","19A","332","18","52","83","11"
"U. S. Representative -- 2nd Congressional District","Orleans","15","19B","135","13","3","4","0"
"U. S. Representative -- 2nd Congressional District","Orleans","15","19C","255","18","6","13","6"
"U. S. Representative -- 2nd Congressional District","Orleans","16","02","118","50","16","27","3"
"U. S. Representative -- 2nd Congressional District","Orleans","16","03","115","38","22","19","1"
"U. S. Representative -- 2nd Congressional District","Orleans","16","04","144","67","11","13","5"
"U. S. Representative -- 2nd Congressional District","Orleans","16","05","128","60","15","22","2"
"U. S. Representative -- 2nd Congressional District","Orleans","16","06","165","87","19","12","4"
"U. S. Representative -- 2nd Congressional District","Orleans","16","07","117","44","11","13","5"
"U. S. Representative -- 2nd Congressional District","Orleans","16","08","134","44","18","12","5"
"U. S. Representative -- 2nd Congressional District","Orleans","16","09","86","32","8","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","17","02","131","37","14","11","3"
"U. S. Representative -- 2nd Congressional District","Orleans","17","03","195","67","7","9","1"
"U. S. Representative -- 2nd Congressional District","Orleans","17","04","125","47","8","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","17","05","182","76","12","12","2"
"U. S. Representative -- 2nd Congressional District","Orleans","17","06","209","83","5","8","4"
"U. S. Representative -- 2nd Congressional District","Orleans","17","07","180","78","5","15","4"
"U. S. Representative -- 2nd Congressional District","Orleans","17","08","158","41","10","11","1"
"U. S. Representative -- 2nd Congressional District","Orleans","17","09","180","35","3","0","3"
"U. S. Representative -- 2nd Congressional District","Orleans","17","10","161","58","3","10","2"
"U. S. Representative -- 2nd Congressional District","Orleans","17","11","161","26","4","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","17","12","108","25","6","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","17","13","140","26","2","0","3"
"U. S. Representative -- 2nd Congressional District","Orleans","17","13A","143","17","1","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","17","14","211","37","2","1","4"
"U. S. Representative -- 2nd Congressional District","Orleans","17","15","191","19","6","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","17","16","158","34","0","4","3"
"U. S. Representative -- 2nd Congressional District","Orleans","Early Voting","","50370","8869","1603","2239","522"
"U. S. Representative -- 2nd Congressional District","Orleans","Provisional Votes","","98","26","8","5","4"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","10","92","11","53","42","3"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","11","129","30","58","50","11"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","12","97","29","70","56","6"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","13","171","31","95","78","16"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","14","119","23","66","45","3"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","15","104","16","28","23","7"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","20","64","16","33","47","9"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","21","70","18","56","37","9"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","22","111","22","46","33","9"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","23","87","14","9","8","3"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","24","97","20","82","88","8"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","25","101","17","71","49","8"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","30","111","23","89","87","8"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","31","90","13","68","75","8"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","40","26","5","8","9","2"
"U. S. Representative -- 2nd Congressional District","St. Bernard","00","42","97","17","94","105","6"
"U. S. Representative -- 2nd Congressional District","St. Bernard","Early Voting","","1544","231","999","1056","154"
"U. S. Representative -- 2nd Congressional District","St. Bernard","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","1","250","22","3","2","7"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","2","95","19","32","22","7"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","2 A","100","20","28","27","6"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","3","190","19","62","88","16"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","4","136","25","38","37","12"
"U. S. Representative -- 2nd Congressional District","St. Charles","01","5","188","22","2","3","3"
"U. S. Representative -- 2nd Congressional District","St. Charles","02","1","65","9","104","81","26"
"U. S. Representative -- 2nd Congressional District","St. Charles","02","3","82","14","118","135","20"
"U. S. Representative -- 2nd Congressional District","St. Charles","02","4","215","17","110","80","29"
"U. S. Representative -- 2nd Congressional District","St. Charles","02","5","105","16","146","124","22"
"U. S. Representative -- 2nd Congressional District","St. Charles","02","5 A","92","16","142","139","20"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","1","68","13","105","76","22"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","1 A","77","12","92","76","8"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","2","58","14","319","261","62"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","3","72","13","116","90","11"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","4","200","28","83","65","22"
"U. S. Representative -- 2nd Congressional District","St. Charles","04","5","17","9","33","35","2"
"U. S. Representative -- 2nd Congressional District","St. Charles","05","1","285","36","27","23","17"
"U. S. Representative -- 2nd Congressional District","St. Charles","05","3","153","21","67","60","18"
"U. S. Representative -- 2nd Congressional District","St. Charles","05","4","206","35","92","80","26"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","1","16","4","33","15","3"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","2","75","30","127","114","16"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","2 A","58","9","117","101","19"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","3","90","17","160","131","30"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","3 A","84","13","147","152","22"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","4","93","14","32","34","14"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","4 A","73","6","38","37","11"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","5","17","6","7","6","1"
"U. S. Representative -- 2nd Congressional District","St. Charles","07","6","43","4","0","0","2"
"U. S. Representative -- 2nd Congressional District","St. Charles","Early Voting","","2623","277","1781","1940","398"
"U. S. Representative -- 2nd Congressional District","St. Charles","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","St. James","00","01","143","16","6","6","9"
"U. S. Representative -- 2nd Congressional District","St. James","00","02","342","37","162","163","30"
"U. S. Representative -- 2nd Congressional District","St. James","00","04","131","16","73","81","21"
"U. S. Representative -- 2nd Congressional District","St. James","00","05","124","19","41","45","6"
"U. S. Representative -- 2nd Congressional District","St. James","00","06","146","18","73","91","14"
"U. S. Representative -- 2nd Congressional District","St. James","00","07","240","18","2","0","5"
"U. S. Representative -- 2nd Congressional District","St. James","00","08","80","9","70","61","9"
"U. S. Representative -- 2nd Congressional District","St. James","00","09","94","15","225","229","36"
"U. S. Representative -- 2nd Congressional District","St. James","00","10","25","1","18","31","2"
"U. S. Representative -- 2nd Congressional District","St. James","00","11","92","14","36","34","8"
"U. S. Representative -- 2nd Congressional District","St. James","00","12","148","15","9","9","7"
"U. S. Representative -- 2nd Congressional District","St. James","00","13","362","53","4","8","5"
"U. S. Representative -- 2nd Congressional District","St. James","00","14","156","12","2","2","3"
"U. S. Representative -- 2nd Congressional District","St. James","00","15","166","18","3","19","12"
"U. S. Representative -- 2nd Congressional District","St. James","00","16","364","32","22","11","11"
"U. S. Representative -- 2nd Congressional District","St. James","00","17","141","15","68","56","17"
"U. S. Representative -- 2nd Congressional District","St. James","00","18","145","11","90","56","20"
"U. S. Representative -- 2nd Congressional District","St. James","00","19","76","5","21","29","2"
"U. S. Representative -- 2nd Congressional District","St. James","00","22","36","5","2","6","0"
"U. S. Representative -- 2nd Congressional District","St. James","00","23","29","3","65","39","5"
"U. S. Representative -- 2nd Congressional District","St. James","Early Voting","","2841","177","1160","1372","224"
"U. S. Representative -- 2nd Congressional District","St. James","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","01","22","1","28","27","4"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","02","225","29","3","3","8"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","03","403","36","8","6","10"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","04","189","22","19","29","22"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","05","62","7","5","3","8"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","06","14","5","8","18","4"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","01","07","61","8","38","27","10"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","01","111","13","96","90","23"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","02","200","26","32","40","30"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","03","136","11","37","40","16"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","04","70","8","122","93","39"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","02","05","179","39","7","10","25"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","01","111","13","32","22","34"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","02","422","51","17","17","47"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","03","46","1","35","59","18"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","04","162","26","26","22","17"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","03","07","91","11","12","7","15"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","01","8","1","1","0","2"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","02","184","28","34","33","24"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","03","202","42","7","12","15"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","04","131","41","60","61","34"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","04","05","8","5","2","0","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","01","250","31","30","19","17"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","02","68","14","0","6","2"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","03","20","2","29","21","11"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","04","138","27","91","97","36"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","05","05","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","01","130","21","33","36","22"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","02","1","0","0","0","2"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","03","307","41","12","12","29"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","04","257","45","10","10","21"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","06","05","19","5","6","7","5"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","07","01","167","25","42","40","17"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","07","02","209","36","90","81","35"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","07","03","91","9","34","29","10"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","07","04","94","21","41","33","14"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","Early Voting","","6041","644","1192","1446","546"
"U. S. Representative -- 2nd Congressional District","St. John The Baptist","Provisional Votes","","0","0","0","0","0"
