Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Assumption","Early Voting","","1426","146","904","1002","136"
"U. S. Representative -- 2nd Congressional District","Assumption","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Iberville","00","01","207","20","18","14","5"
"U. S. Representative -- 2nd Congressional District","Iberville","00","03","281","40","11","23","6"
"U. S. Representative -- 2nd Congressional District","Iberville","00","04","60","13","125","142","15"
"U. S. Representative -- 2nd Congressional District","Iberville","00","05","29","13","109","90","22"
"U. S. Representative -- 2nd Congressional District","Iberville","00","06","5","0","2","2","1"
"U. S. Representative -- 2nd Congressional District","Iberville","00","07","199","18","19","21","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","09","138","21","160","139","30"
"U. S. Representative -- 2nd Congressional District","Iberville","00","10","269","40","149","98","26"
"U. S. Representative -- 2nd Congressional District","Iberville","00","10B","157","13","18","26","2"
"U. S. Representative -- 2nd Congressional District","Iberville","00","11","403","51","39","23","12"
"U. S. Representative -- 2nd Congressional District","Iberville","00","12","12","7","9","3","0"
"U. S. Representative -- 2nd Congressional District","Iberville","00","13","34","9","32","51","7"
"U. S. Representative -- 2nd Congressional District","Iberville","00","14","57","11","36","53","2"
"U. S. Representative -- 2nd Congressional District","Iberville","00","14A","195","29","21","16","3"
"U. S. Representative -- 2nd Congressional District","Iberville","00","15","237","36","3","8","2"
"U. S. Representative -- 2nd Congressional District","Iberville","00","15A","22","6","17","15","4"
"U. S. Representative -- 2nd Congressional District","Iberville","00","15B","9","5","29","19","1"
"U. S. Representative -- 2nd Congressional District","Iberville","00","16","280","64","13","17","7"
"U. S. Representative -- 2nd Congressional District","Iberville","00","17","69","12","56","93","9"
"U. S. Representative -- 2nd Congressional District","Iberville","00","18","75","13","54","71","8"
"U. S. Representative -- 2nd Congressional District","Iberville","00","19","198","36","15","24","5"
"U. S. Representative -- 2nd Congressional District","Iberville","00","20","23","5","4","10","1"
"U. S. Representative -- 2nd Congressional District","Iberville","00","21","128","21","63","62","10"
"U. S. Representative -- 2nd Congressional District","Iberville","00","22","305","59","160","169","19"
"U. S. Representative -- 2nd Congressional District","Iberville","00","22B","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Iberville","00","24","122","35","76","75","6"
"U. S. Representative -- 2nd Congressional District","Iberville","00","25","28","14","183","102","15"
"U. S. Representative -- 2nd Congressional District","Iberville","00","26","25","6","79","56","10"
"U. S. Representative -- 2nd Congressional District","Iberville","00","27","24","13","107","129","21"
"U. S. Representative -- 2nd Congressional District","Iberville","00","28","133","21","101","111","15"
"U. S. Representative -- 2nd Congressional District","Iberville","00","29","89","23","61","89","14"
"U. S. Representative -- 2nd Congressional District","Iberville","00","31","110","30","23","33","3"
"U. S. Representative -- 2nd Congressional District","Iberville","00","32","282","82","25","27","11"
"U. S. Representative -- 2nd Congressional District","Iberville","Early Voting","","2202","220","1205","1404","146"
