"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"John Sarbanes","DEM","Representative in Congress","03","Y","","11068","","2556","","14710","","1761","","14908","","45003",""
"Other Write-Ins","BOT","Representative in Congress","03","","Y","29","","8","","31","","7","","37","","112",""
"Neil C. Parrott","REP","Representative in Congress","06","","","18408","","7727","","7310","","1448","","12283","","47176",""
"David J. Trone","DEM","Representative in Congress","06","Y","","28819","","8903","","48356","","4548","","45558","","136184",""
"George Gluck","GRN","Representative in Congress","06","","","896","","499","","999","","137","","1452","","3983",""
"Jason Herrick","UNF","Representative in Congress","06","","Y","8","","2","","3","","0","","1","","14",""
"Other Write-Ins","BOT","Representative in Congress","06","","Y","53","","27","","47","","8","","84","","219",""
"Gregory Thomas Coll","REP","Representative in Congress","08","","","18570","","7689","","9378","","1724","","13804","","51165",""
"Jamie Raskin","DEM","Representative in Congress","08","Y","","41258","","9798","","91202","","7357","","71456","","221071",""
"Lih Young","DEM","Representative in Congress","08","","Y","3","","5","","1","","0","","10","","19",""
"Other Write-Ins","BOT","Representative in Congress","08","","Y","146","","54","","139","","29","","160","","528",""
"Bibi M. Berry","BOT","Judge of the Circuit Court","06","Y","","78941","","21662","","119713","","10699","","108085","","339100",""
"David A. Boynton","BOT","Judge of the Circuit Court","06","Y","","75705","","21885","","106077","","9759","","91467","","304893",""
"Christopher C. Fogleman","BOT","Judge of the Circuit Court","06","Y","","72977","","20978","","100754","","9266","","87249","","291224",""
"Michael Joseph McAuliffe","BOT","Judge of the Circuit Court","06","Y","","75332","","21787","","104428","","9559","","89667","","300773",""
"Marylin Pierre","BOT","Judge of the Circuit Court","06","","","50184","","15660","","74285","","7848","","67122","","215099",""
"Thomas P. Johnson, III","BOT","Judge of the Circuit Court","06","","Y","117","","17","","77","","3","","92","","306",""
"Other Write-Ins","BOT","Judge of the Circuit Court","06","","Y","2440","","870","","2216","","314","","2958","","8798",""
"Mary Ellen Barbera","BOT","Judge Court of Appeals","07","Y","","95147","15508","27955","6438","141159","8061","13392","2097","123750","11240","401403","43344"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","91722","17032","26914","6826","135158","11509","13002","2739","119354","13152","386150","51258"
"Steven B. Gould","BOT","Judge Special Appeals","07","Y","","88564","18501","25910","7363","129022","14133","12108","2834","111639","17068","367243","59899"
"Sunil Dasgupta","NON","Board of Education At Large","","","","46370","","12758","","67999","","6687","","69825","","203639",""
"Lynne Harris","NON","Board of Education At Large","","Y","","54770","","18795","","76907","","8094","","62967","","221533",""
"Other Write-Ins","NON","Board of Education At Large","","","Y","2014","","702","","640","","136","","1012","","4504",""
"Michael Fryar","NON","Board of Education     ","002","","","39299","","13105","","52831","","5353","","52258","","162846",""
"Rebecca K. Smondrowski","NON","Board of Education     ","002","Y","","55690","","16821","","84556","","8498","","74909","","240474",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","1341","","490","","458","","119","","634","","3042",""
"Shebra Evans","NON","Board of Education     ","004","Y","","55185","","15076","","102660","","8643","","91677","","273241",""
"Steve Solomon","NON","Board of Education     ","004","","","40489","","14827","","37405","","5193","","36834","","134748",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","1206","","422","","255","","95","","432","","2410",""
