"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Other Write-Ins","BOT","Judge of the Circuit Court","04","","Y","137","","176","","93","","19","","68","","493",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","11398","1993","17615","3091","10323","1207","1161","282","4174","482","44671","7055"
"Kathryn Grill Graeff","BOT","Judge Special Appeals","03","Y","","11251","1966","17164","3182","10393","1144","1152","248","4081","549","44041","7089"
"Michael E. Barnes","NON","Mayor of Hagerstown","HG","","","1607","","2105","","937","","143","","291","","5083",""
"Emily Keller","NON","Mayor of Hagerstown","HG","Y","","1941","","2414","","2849","","336","","834","","8374",""
"Other Write-Ins","NON","Mayor of Hagerstown","HG","","Y","13","","32","","31","","2","","9","","87",""
"Kristin B. Aleshire","NON","Hagerstown Council","HG","Y","","1572","","2090","","1849","","206","","461","","6178",""
"Bob Bruchey","NON","Hagerstown Council","HG","Y","","1397","","1962","","995","","126","","290","","4770",""
"Tiara Burnett","NON","Hagerstown Council","HG","Y","","1756","","2013","","2099","","302","","670","","6840",""
"Brooke Grossman","NON","Hagerstown Council","HG","","","999","","1202","","1533","","149","","410","","4293",""
"Austin Heffernan","NON","Hagerstown Council","HG","","","1167","","1367","","903","","105","","275","","3817",""
"Tekesha A. Martinez","NON","Hagerstown Council","HG","Y","","1372","","1596","","1776","","271","","586","","5601",""
"Shelley McIntire","NON","Hagerstown Council","HG","Y","","1525","","1733","","1496","","155","","471","","5380",""
"Penny May Nigh","NON","Hagerstown Council","HG","","","986","","1318","","1301","","132","","287","","4024",""
"Peter E. Perini, Sr.","NON","Hagerstown Council","HG","","","1090","","1387","","1684","","161","","395","","4717",""
"Brenda J. Thiam","NON","Hagerstown Council","HG","","","1083","","1134","","1052","","137","","366","","3772",""
"Other Write-Ins","NON","Hagerstown Council","HG","","Y","56","","68","","44","","10","","24","","202",""
"Pieter Bickford","NON","Board of Education     ","","Y","","6231","","9028","","6883","","515","","2355","","25012",""
"William Bill Donahue","NON","Board of Education     ","","","","5388","","8977","","5324","","594","","2105","","22388",""
"Benjamin Forrest","NON","Board of Education     ","","","","4821","","7516","","4369","","499","","1847","","19052",""
"Ladetra Robinson","NON","Board of Education     ","","","","3589","","4317","","4917","","556","","1894","","15273",""
"Stan Stouffer","NON","Board of Education     ","","Y","","7437","","11920","","5069","","559","","2135","","27120",""
"Melissa Williams","NON","Board of Education     ","","Y","","7518","","10829","","6948","","785","","2588","","28668",""
"April A. Zentmeyer","NON","Board of Education     ","","Y","","6569","","9310","","5546","","600","","2262","","24287",""
"DARRELL EVANS","NON","Board of Education     ","","","Y","1082","","1441","","94","","33","","153","","2803",""
"Other Write-Ins","NON","Board of Education     ","","","Y","231","","303","","121","","19","","64","","738",""
