"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"John Richard Perkins","UNF","Member City Council","004","","Y","1","","1","","1","","0","","0","","3",""
"Other Write-Ins","BOT","Member City Council","004","","Y","44","","29","","76","","4","","30","","183",""
"Maria Mandela Vismale","REP","Member City Council","005","","","686","","259","","695","","79","","288","","2007",""
"Isaac Yitzy Schleifer","DEM","Member City Council","005","Y","","4359","","1363","","8025","","614","","2327","","16688",""
"Other Write-Ins","BOT","Member City Council","005","","Y","33","","11","","100","","7","","39","","190",""
"Michelle Y. Andrews","REP","Member City Council","006","","","393","","265","","525","","43","","195","","1421",""
"Sharon Green Middleton","DEM","Member City Council","006","Y","","3516","","1477","","6079","","597","","1578","","13247",""
"Other Write-Ins","BOT","Member City Council","006","","Y","18","","5","","33","","7","","11","","74",""
"Christopher M. Anderson","REP","Member City Council","007","","","374","","428","","394","","59","","183","","1438",""
"James Torrence","DEM","Member City Council","007","Y","","3495","","1883","","5734","","710","","1821","","13643",""
"Other Write-Ins","BOT","Member City Council","007","","Y","17","","17","","12","","7","","10","","63",""
"Kristerfer Burnett","DEM","Member City Council","008","Y","","4786","","1752","","6461","","799","","2018","","15816",""
"Other Write-Ins","BOT","Member City Council","008","","Y","54","","28","","22","","4","","12","","120",""
"John T. Bullock","DEM","Member City Council","009","Y","","2719","","1765","","3415","","548","","1167","","9614",""
"Other Write-Ins","BOT","Member City Council","009","","Y","46","","36","","47","","8","","27","","164",""
"Michael W. Nolet","REP","Member City Council","010","","","553","","789","","544","","105","","222","","2213",""
"Phylicia Porter","DEM","Member City Council","010","Y","","2124","","1566","","2947","","459","","1217","","8313",""
"Other Write-Ins","BOT","Member City Council","010","","Y","13","","4","","14","","2","","8","","41",""
"Eric Costello","DEM","Member City Council","011","Y","","3984","","1964","","9748","","916","","2931","","19543",""
"Other Write-Ins","BOT","Member City Council","011","","Y","167","","92","","223","","29","","101","","612",""
"Eugene Z. Boikai","REP","Member City Council","012","","","152","","139","","174","","27","","90","","582",""
"Robert Stokes, Sr.","DEM","Member City Council","012","Y","","1683","","1352","","3470","","404","","1170","","8079",""
"Franca Muller","GRN","Member City Council","012","","","1054","","653","","2113","","266","","782","","4868",""
"Other Write-Ins","BOT","Member City Council","012","","Y","9","","7","","20","","2","","5","","43",""
