"Precinct","Tally Type","Registration","Turnout","Total Votes","Harris, Kamala D.","Oliver, Chase","Skousen, Joel","Trump, Donald J.","None of These Candidates"
"1000","Totals",714,655,652,"286","3","0","357","6"
"1000","Election Day",714,130,130,"59","0","0","70","1"
"1000","Early Vote",714,260,260,"96","0","0","162","2"
"1000","Mail",714,265,262,"131","3","0","125","3"
"1001","Totals",1145,920,919,"420","2","0","486","11"
"1001","Election Day",1145,162,162,"60","0","0","100","2"
"1001","Early Vote",1145,399,399,"140","2","0","255","2"
"1001","Mail",1145,359,358,"220","0","0","131","7"
"1002","Totals",0,4,4,"*","*","*","*","*"
"1002","Election Day",0,3,3,"*","*","*","*","*"
"1002","Early Vote",0,1,1,"*","*","*","*","*"
"1002","Mail",0,0,0,"0","0","0","0","0"
"1003","Totals",0,3,3,"*","*","*","*","*"
"1003","Election Day",0,2,2,"*","*","*","*","*"
"1003","Early Vote",0,1,1,"*","*","*","*","*"
"1003","Mail",0,0,0,"0","0","0","0","0"
"1004","Totals",2312,1287,1281,"755","2","3","503","18"
"1004","Election Day",2312,288,288,"157","1","0","127","3"
"1004","Early Vote",2312,394,394,"203","0","2","187","2"
"1004","Mail",2312,605,599,"395","1","1","189","13"
"1005","Totals",1893,1222,1215,"601","2","0","603","9"
"1005","Election Day",1893,160,159,"76","0","0","83","0"
"1005","Early Vote",1893,459,458,"172","0","0","283","3"
"1005","Mail",1893,603,598,"353","2","0","237","6"
"1006","Totals",2191,1546,1542,"816","2","2","706","16"
"1006","Election Day",2191,262,262,"104","0","0","152","6"
"1006","Early Vote",2191,623,621,"272","0","1","345","3"
"1006","Mail",2191,661,659,"440","2","1","209","7"
"1007","Totals",3491,2223,2216,"1246","14","7","925","24"
"1007","Election Day",3491,487,486,"257","3","2","219","5"
"1007","Early Vote",3491,828,828,"379","4","2","440","3"
"1007","Mail",3491,908,902,"610","7","3","266","16"
"1008","Totals",4232,2748,2741,"1459","7","4","1240","31"
"1008","Election Day",4232,507,507,"237","1","0","265","4"
"1008","Early Vote",4232,1056,1054,"466","1","0","584","3"
"1008","Mail",4232,1185,1180,"756","5","4","391","24"
"1009","Totals",1489,1216,1216,"544","5","1","651","15"
"1009","Election Day",1489,219,219,"72","2","0","139","6"
"1009","Early Vote",1489,526,526,"170","0","1","351","4"
"1009","Mail",1489,471,471,"302","3","0","161","5"
"1010","Totals",461,329,328,"198","1","0","128","1"
"1010","Election Day",461,82,82,"45","0","0","37","0"
"1010","Early Vote",461,107,107,"55","0","0","52","0"
"1010","Mail",461,140,139,"98","1","0","39","1"
"1011","Totals",222,165,165,"90","0","1","73","1"
"1011","Election Day",222,26,26,"9","0","1","16","0"
"1011","Early Vote",222,60,60,"28","0","0","32","0"
"1011","Mail",222,79,79,"53","0","0","25","1"
"1012","Totals",1946,1696,1688,"640","3","2","1025","18"
"1012","Election Day",1946,137,137,"34","0","1","98","4"
"1012","Early Vote",1946,632,631,"191","1","0","438","1"
"1012","Mail",1946,927,920,"415","2","1","489","13"
"1014","Totals",1,0,0,"0","0","0","0","0"
"1014","Election Day",1,0,0,"0","0","0","0","0"
"1014","Early Vote",1,0,0,"0","0","0","0","0"
"1014","Mail",1,0,0,"0","0","0","0","0"
"1015","Totals",2759,1982,1979,"996","10","3","946","24"
"1015","Election Day",2759,311,311,"130","3","0","174","4"
"1015","Early Vote",2759,825,824,"335","3","2","481","3"
"1015","Mail",2759,846,844,"531","4","1","291","17"
"1016","Totals",545,446,446,"191","1","0","250","4"
"1016","Election Day",545,50,50,"25","0","0","25","0"
"1016","Early Vote",545,204,204,"78","1","0","124","1"
"1016","Mail",545,192,192,"88","0","0","101","3"
"1038","Totals",2777,1909,1906,"958","3","6","922","17"
"1038","Election Day",2777,284,284,"123","1","1","156","3"
"1038","Early Vote",2777,699,698,"255","0","3","438","2"
"1038","Mail",2777,926,924,"580","2","2","328","12"
"1039","Totals",3626,2747,2740,"1226","11","1","1468","34"
"1039","Election Day",3626,319,318,"130","2","0","184","2"
"1039","Early Vote",3626,1035,1033,"335","2","1","688","7"
"1039","Mail",3626,1393,1389,"761","7","0","596","25"
"1063","Totals",1559,1175,1174,"568","2","2","589","13"
"1063","Election Day",1559,145,145,"65","1","0","78","1"
"1063","Early Vote",1559,531,530,"205","0","1","320","4"
"1063","Mail",1559,499,499,"298","1","1","191","8"
"1067","Totals",200,151,151,"49","0","0","98","4"
"1067","Election Day",200,28,28,"8","0","0","20","0"
"1067","Early Vote",200,56,56,"14","0","0","41","1"
"1067","Mail",200,67,67,"27","0","0","37","3"
"1072","Totals",358,291,290,"73","3","1","209","4"
"1072","Election Day",358,103,102,"22","1","1","77","1"
"1072","Early Vote",358,87,87,"14","0","0","72","1"
"1072","Mail",358,101,101,"37","2","0","60","2"
"1074","Totals",2389,1684,1680,"652","3","4","1003","18"
"1074","Election Day",2389,325,325,"111","1","1","211","1"
"1074","Early Vote",2389,406,406,"116","0","2","285","3"
"1074","Mail",2389,953,949,"425","2","1","507","14"
"1302","Totals",4467,3170,3161,"1630","11","4","1483","33"
"1302","Election Day",4467,497,494,"202","1","1","283","7"
"1302","Early Vote",4467,1307,1307,"573","0","2","724","8"
"1302","Mail",4467,1366,1360,"855","10","1","476","18"
"1304","Totals",3572,2445,2439,"1235","10","4","1162","28"
"1304","Election Day",3572,448,447,"219","3","1","220","4"
"1304","Early Vote",3572,1006,1005,"417","2","2","577","7"
"1304","Mail",3572,991,987,"599","5","1","365","17"
"1307","Totals",2237,1687,1683,"811","4","0","844","24"
"1307","Election Day",2237,197,197,"72","0","0","118","7"
"1307","Early Vote",2237,774,772,"313","2","0","451","6"
"1307","Mail",2237,716,714,"426","2","0","275","11"
"1318","Totals",2139,1380,1378,"745","4","1","618","10"
"1318","Election Day",2139,270,270,"118","2","0","146","4"
"1318","Early Vote",2139,552,552,"247","0","0","303","2"
"1318","Mail",2139,558,556,"380","2","1","169","4"
"1327","Totals",2486,1648,1640,"865","5","2","737","31"
"1327","Election Day",2486,363,362,"179","1","0","175","7"
"1327","Early Vote",2486,647,646,"267","1","1","368","9"
"1327","Mail",2486,638,632,"419","3","1","194","15"
"1328","Totals",2034,1348,1347,"666","2","0","664","15"
"1328","Election Day",2034,272,272,"103","0","0","164","5"
"1328","Early Vote",2034,498,498,"213","0","0","279","6"
"1328","Mail",2034,578,577,"350","2","0","221","4"
"1330","Totals",2133,1551,1548,"593","3","2","928","22"
"1330","Election Day",2133,274,274,"110","1","1","158","4"
"1330","Early Vote",2133,720,718,"187","0","0","525","6"
"1330","Mail",2133,557,556,"296","2","1","245","12"
"1331","Totals",2086,1337,1336,"715","6","2","595","18"
"1331","Election Day",2086,233,233,"128","2","0","101","2"
"1331","Early Vote",2086,528,528,"242","2","1","281","2"
"1331","Mail",2086,576,575,"345","2","1","213","14"
"1333","Totals",1651,1199,1196,"574","7","4","607","4"
"1333","Election Day",1651,158,158,"66","2","0","89","1"
"1333","Early Vote",1651,530,530,"208","3","0","318","1"
"1333","Mail",1651,511,508,"300","2","4","200","2"
"1334","Totals",1998,1488,1485,"727","4","2","738","14"
"1334","Election Day",1998,229,228,"88","3","1","131","5"
"1334","Early Vote",1998,642,642,"254","1","0","385","2"
"1334","Mail",1998,617,615,"385","0","1","222","7"
"1335","Totals",1714,1291,1289,"599","0","1","673","16"
"1335","Election Day",1714,201,201,"86","0","0","113","2"
"1335","Early Vote",1714,512,511,"181","0","0","326","4"
"1335","Mail",1714,578,577,"332","0","1","234","10"
"1336","Totals",1484,951,949,"556","3","1","378","11"
"1336","Election Day",1484,165,165,"93","0","1","68","3"
"1336","Early Vote",1484,366,366,"189","3","0","171","3"
"1336","Mail",1484,420,418,"274","0","0","139","5"
"1341","Totals",3228,2330,2329,"1160","11","4","1136","18"
"1341","Election Day",3228,449,449,"183","5","1","258","2"
"1341","Early Vote",3228,940,940,"376","2","1","555","6"
"1341","Mail",3228,941,940,"601","4","2","323","10"
"1343","Totals",1152,843,841,"330","3","1","500","7"
"1343","Election Day",1152,144,144,"58","0","0","86","0"
"1343","Early Vote",1152,378,378,"96","1","0","280","1"
"1343","Mail",1152,321,319,"176","2","1","134","6"
"1344","Totals",1714,1180,1177,"642","4","1","522","8"
"1344","Election Day",1714,210,210,"101","0","0","106","3"
"1344","Early Vote",1714,475,475,"203","1","1","270","0"
"1344","Mail",1714,495,492,"338","3","0","146","5"
"1346","Totals",2809,2167,2162,"890","11","2","1231","28"
"1346","Election Day",2809,305,305,"117","2","0","182","4"
"1346","Early Vote",2809,975,975,"307","2","0","657","9"
"1346","Mail",2809,887,882,"466","7","2","392","15"
"1348","Totals",2261,1536,1535,"745","7","1","761","21"
"1348","Election Day",2261,346,346,"162","1","1","174","8"
"1348","Early Vote",2261,564,564,"207","0","0","355","2"
"1348","Mail",2261,626,625,"376","6","0","232","11"
"1349","Totals",2190,1430,1428,"727","5","4","673","19"
"1349","Election Day",2190,301,301,"142","1","0","156","2"
"1349","Early Vote",2190,578,578,"233","1","2","336","6"
"1349","Mail",2190,551,549,"352","3","2","181","11"
"1351","Totals",3411,2201,2195,"1199","10","4","953","29"
"1351","Election Day",3411,395,395,"200","1","1","183","10"
"1351","Early Vote",3411,886,886,"393","3","1","483","6"
"1351","Mail",3411,920,914,"606","6","2","287","13"
"1352","Totals",1647,1129,1129,"590","3","3","522","11"
"1352","Election Day",1647,223,223,"91","1","1","127","3"
"1352","Early Vote",1647,435,435,"206","0","1","224","4"
"1352","Mail",1647,471,471,"293","2","1","171","4"
"1353","Totals",3082,1976,1971,"1116","5","3","832","15"
"1353","Election Day",3082,469,469,"252","1","2","210","4"
"1353","Early Vote",3082,704,703,"309","1","0","391","2"
"1353","Mail",3082,803,799,"555","3","1","231","9"
"1354","Totals",3943,2595,2591,"1412","9","2","1124","44"
"1354","Election Day",3943,518,518,"237","1","0","270","10"
"1354","Early Vote",3943,988,988,"457","3","0","516","12"
"1354","Mail",3943,1089,1085,"718","5","2","338","22"
"1356","Totals",2420,1648,1647,"823","5","2","801","16"
"1356","Election Day",2420,324,324,"143","3","0","175","3"
"1356","Early Vote",2420,656,656,"261","1","2","388","4"
"1356","Mail",2420,668,667,"419","1","0","238","9"
"1361","Totals",3,1,1,"*","*","*","*","*"
"1361","Election Day",3,0,0,"0","0","0","0","0"
"1361","Early Vote",3,0,0,"0","0","0","0","0"
"1361","Mail",3,1,1,"*","*","*","*","*"
"1363","Totals",2,2,2,"*","*","*","*","*"
"1363","Election Day",2,0,0,"0","0","0","0","0"
"1363","Early Vote",2,0,0,"0","0","0","0","0"
"1363","Mail",2,2,2,"*","*","*","*","*"
"1368","Totals",2369,1473,1473,"801","3","2","654","13"
"1368","Election Day",2369,283,283,"143","1","0","136","3"
"1368","Early Vote",2369,596,596,"249","2","1","342","2"
"1368","Mail",2369,594,594,"409","0","1","176","8"
"1384","Totals",339,221,221,"132","3","0","84","2"
"1384","Election Day",339,61,61,"41","0","0","19","1"
"1384","Early Vote",339,64,64,"31","0","0","33","0"
"1384","Mail",339,96,96,"60","3","0","32","1"
"1389","Totals",1400,1047,1046,"484","2","0","549","11"
"1389","Election Day",1400,190,190,"77","0","0","112","1"
"1389","Early Vote",1400,429,429,"145","0","0","280","4"
"1389","Mail",1400,428,427,"262","2","0","157","6"
"1390","Totals",4384,3276,3274,"1666","11","7","1552","38"
"1390","Election Day",4384,650,650,"308","4","3","322","13"
"1390","Early Vote",4384,1148,1147,"468","2","1","668","8"
"1390","Mail",4384,1478,1477,"890","5","3","562","17"
"1394","Totals",3214,2701,2698,"1116","8","5","1544","25"
"1394","Election Day",3214,338,338,"102","1","1","231","3"
"1394","Early Vote",3214,1000,1000,"300","2","1","696","1"
"1394","Mail",3214,1363,1360,"714","5","3","617","21"
"1396","Totals",3597,2663,2657,"1423","11","0","1188","35"
"1396","Election Day",3597,528,527,"251","1","0","264","11"
"1396","Early Vote",3597,872,872,"383","3","0","481","5"
"1396","Mail",3597,1263,1258,"789","7","0","443","19"
"1411","Totals",3039,2508,2506,"1159","3","7","1309","28"
"1411","Election Day",3039,368,368,"140","2","5","216","5"
"1411","Early Vote",3039,1004,1004,"338","0","2","657","7"
"1411","Mail",3039,1136,1134,"681","1","0","436","16"
"1510","Totals",880,757,755,"241","3","0","489","22"
"1510","Election Day",880,62,62,"15","2","0","40","5"
"1510","Early Vote",880,333,333,"76","1","0","250","6"
"1510","Mail",880,362,360,"150","0","0","199","11"
"1514","Totals",2220,1871,1870,"743","9","2","1087","29"
"1514","Election Day",2220,251,251,"98","1","0","146","6"
"1514","Early Vote",2220,740,740,"212","2","1","518","7"
"1514","Mail",2220,880,879,"433","6","1","423","16"
"1517","Totals",3023,2590,2584,"1015","8","1","1536","24"
"1517","Election Day",3023,243,243,"91","1","0","151","0"
"1517","Early Vote",3023,1046,1045,"304","2","0","731","8"
"1517","Mail",3023,1301,1296,"620","5","1","654","16"
"1518","Totals",2732,2375,2372,"1038","3","3","1298","30"
"1518","Election Day",2732,274,274,"89","0","0","178","7"
"1518","Early Vote",2732,919,919,"295","1","2","612","9"
"1518","Mail",2732,1182,1179,"654","2","1","508","14"
"1525","Totals",2326,1960,1957,"977","2","1","961","16"
"1525","Election Day",2326,208,207,"97","1","0","106","3"
"1525","Early Vote",2326,749,749,"274","1","0","470","4"
"1525","Mail",2326,1003,1001,"606","0","1","385","9"
"1550","Totals",1032,875,874,"352","2","0","508","12"
"1550","Election Day",1032,117,117,"31","1","0","82","3"
"1550","Early Vote",1032,376,376,"107","0","0","267","2"
"1550","Mail",1032,382,381,"214","1","0","159","7"
"1553","Totals",0,0,0,"0","0","0","0","0"
"1553","Election Day",0,0,0,"0","0","0","0","0"
"1553","Early Vote",0,0,0,"0","0","0","0","0"
"1553","Mail",0,0,0,"0","0","0","0","0"
"1602","Totals",2679,1784,1781,"966","6","3","790","16"
"1602","Election Day",2679,377,377,"206","4","1","161","5"
"1602","Early Vote",2679,601,601,"256","1","2","337","5"
"1602","Mail",2679,806,803,"504","1","0","292","6"
"1605","Totals",3579,2188,2180,"1242","3","5","907","23"
"1605","Election Day",3579,441,440,"205","0","1","230","4"
"1605","Early Vote",3579,774,773,"382","2","2","384","3"
"1605","Mail",3579,973,967,"655","1","2","293","16"
"1606","Totals",2675,2219,2217,"923","8","7","1230","49"
"1606","Election Day",2675,311,310,"106","0","1","194","9"
"1606","Early Vote",2675,896,896,"295","1","2","593","5"
"1606","Mail",2675,1012,1011,"522","7","4","443","35"
"1609","Totals",2404,1716,1716,"848","8","2","833","25"
"1609","Election Day",2404,249,249,"115","2","0","126","6"
"1609","Early Vote",2404,789,789,"292","2","0","486","9"
"1609","Mail",2404,678,678,"441","4","2","221","10"
"1613","Totals",2609,1708,1703,"879","4","4","794","22"
"1613","Election Day",2609,298,297,"130","0","1","162","4"
"1613","Early Vote",2609,662,661,"254","2","1","399","5"
"1613","Mail",2609,748,745,"495","2","2","233","13"
"1614","Totals",1967,1261,1256,"615","3","2","624","12"
"1614","Election Day",1967,255,255,"108","0","2","140","5"
"1614","Early Vote",1967,494,494,"187","1","0","306","0"
"1614","Mail",1967,512,507,"320","2","0","178","7"
"1619","Totals",2529,1739,1735,"844","2","4","865","20"
"1619","Election Day",2529,314,314,"136","1","3","170","4"
"1619","Early Vote",2529,711,711,"282","0","1","424","4"
"1619","Mail",2529,714,710,"426","1","0","271","12"
"1621","Totals",1436,860,856,"462","3","0","386","5"
"1621","Election Day",1436,176,176,"91","2","0","82","1"
"1621","Early Vote",1436,313,312,"136","0","0","175","1"
"1621","Mail",1436,371,368,"235","1","0","129","3"
"1625","Totals",3059,2000,1994,"1089","13","2","868","22"
"1625","Election Day",3059,368,368,"211","2","1","149","5"
"1625","Early Vote",3059,667,667,"289","6","0","367","5"
"1625","Mail",3059,965,959,"589","5","1","352","12"
"1631","Totals",2538,1611,1610,"864","5","4","716","21"
"1631","Election Day",2538,243,243,"120","1","1","119","2"
"1631","Early Vote",2538,688,687,"284","1","2","392","8"
"1631","Mail",2538,680,680,"460","3","1","205","11"
"1632","Totals",2722,1594,1591,"860","5","3","707","16"
"1632","Election Day",2722,354,354,"180","2","2","168","2"
"1632","Early Vote",2722,584,584,"238","2","0","343","1"
"1632","Mail",2722,656,653,"442","1","1","196","13"
"1633","Totals",1761,1027,1023,"632","2","0","378","11"
"1633","Election Day",1761,247,247,"129","1","0","115","2"
"1633","Early Vote",1761,305,304,"171","0","0","132","1"
"1633","Mail",1761,475,472,"332","1","0","131","8"
"1643","Totals",810,576,574,"224","1","0","345","4"
"1643","Election Day",810,80,80,"30","1","0","48","1"
"1643","Early Vote",810,165,165,"42","0","0","121","2"
"1643","Mail",810,331,329,"152","0","0","176","1"
"1645","Totals",3835,1985,1979,"1155","3","5","789","27"
"1645","Election Day",3835,498,496,"259","1","3","227","6"
"1645","Early Vote",3835,586,586,"294","0","1","285","6"
"1645","Mail",3835,901,897,"602","2","1","277","15"
"1651","Totals",3511,2355,2351,"1087","14","3","1228","19"
"1651","Election Day",3511,448,448,"189","3","0","251","5"
"1651","Early Vote",3511,952,952,"335","4","1","606","6"
"1651","Mail",3511,955,951,"563","7","2","371","8"
"1653","Totals",2088,1191,1187,"673","9","1","484","20"
"1653","Election Day",2088,278,276,"161","2","0","109","4"
"1653","Early Vote",2088,367,365,"170","4","0","188","3"
"1653","Mail",2088,546,546,"342","3","1","187","13"
"1660","Totals",2117,1635,1633,"831","8","1","771","22"
"1660","Election Day",2117,268,268,"135","2","1","125","5"
"1660","Early Vote",2117,670,670,"259","1","0","407","3"
"1660","Mail",2117,697,695,"437","5","0","239","14"
"1664","Totals",1236,905,903,"384","7","1","501","10"
"1664","Election Day",1236,128,127,"47","2","0","77","1"
"1664","Early Vote",1236,353,353,"116","3","1","231","2"
"1664","Mail",1236,424,423,"221","2","0","193","7"
"1665","Totals",1,0,0,"0","0","0","0","0"
"1665","Election Day",1,0,0,"0","0","0","0","0"
"1665","Early Vote",1,0,0,"0","0","0","0","0"
"1665","Mail",1,0,0,"0","0","0","0","0"
"1668","Totals",5145,3976,3972,"1827","16","4","2091","34"
"1668","Election Day",5145,589,589,"246","3","0","337","3"
"1668","Early Vote",5145,1688,1687,"588","3","2","1085","9"
"1668","Mail",5145,1699,1696,"993","10","2","669","22"
"1669","Totals",3784,2543,2541,"1314","14","2","1185","26"
"1669","Election Day",3784,508,508,"246","1","1","255","5"
"1669","Early Vote",3784,1022,1021,"390","4","0","618","9"
"1669","Mail",3784,1013,1012,"678","9","1","312","12"
"1671","Totals",23,22,22,"5","0","0","15","2"
"1671","Election Day",23,1,1,"*","*","*","*","*"
"1671","Early Vote",23,3,3,"*","*","*","*","*"
"1671","Mail",23,18,18,"5","0","0","12","1"
"1672","Totals",3620,2799,2798,"1329","13","3","1419","34"
"1672","Election Day",3620,496,496,"192","1","0","292","11"
"1672","Early Vote",3620,1007,1007,"365","0","2","636","4"
"1672","Mail",3620,1296,1295,"772","12","1","491","19"
"1674","Totals",1804,1593,1590,"656","5","2","893","34"
"1674","Election Day",1804,162,162,"66","1","0","88","7"
"1674","Early Vote",1804,538,538,"170","0","0","364","4"
"1674","Mail",1804,893,890,"420","4","2","441","23"
"1677","Totals",2903,2080,2078,"975","10","2","1071","20"
"1677","Election Day",2903,344,344,"136","2","1","201","4"
"1677","Early Vote",2903,908,908,"315","3","1","585","4"
"1677","Mail",2903,828,826,"524","5","0","285","12"
"1679","Totals",1057,838,838,"350","1","1","474","12"
"1679","Election Day",1057,170,170,"70","0","0","98","2"
"1679","Early Vote",1057,393,393,"121","0","0","269","3"
"1679","Mail",1057,275,275,"159","1","1","107","7"
"1680","Totals",2032,1545,1541,"765","4","2","752","18"
"1680","Election Day",2032,269,269,"114","2","0","151","2"
"1680","Early Vote",2032,620,619,"241","0","1","375","2"
"1680","Mail",2032,656,653,"410","2","1","226","14"
"1682","Totals",3609,2361,2357,"1261","14","5","1051","26"
"1682","Election Day",3609,511,511,"249","5","1","254","2"
"1682","Early Vote",3609,857,856,"374","1","2","474","5"
"1682","Mail",3609,993,990,"638","8","2","323","19"
"1685","Totals",1225,937,936,"354","7","2","557","16"
"1685","Election Day",1225,126,126,"42","4","0","78","2"
"1685","Early Vote",1225,435,435,"135","1","1","294","4"
"1685","Mail",1225,376,375,"177","2","1","185","10"
"1688","Totals",1344,1005,1004,"500","3","4","479","18"
"1688","Election Day",1344,136,136,"58","0","1","75","2"
"1688","Early Vote",1344,441,441,"181","0","1","253","6"
"1688","Mail",1344,428,427,"261","3","2","151","10"
"1689","Totals",2255,1678,1675,"866","1","5","787","16"
"1689","Election Day",2255,272,272,"131","0","2","138","1"
"1689","Early Vote",2255,628,627,"260","1","2","362","2"
"1689","Mail",2255,778,776,"475","0","1","287","13"
"1695","Totals",972,769,769,"243","2","1","519","4"
"1695","Election Day",972,74,74,"15","0","0","58","1"
"1695","Early Vote",972,452,452,"113","0","1","338","0"
"1695","Mail",972,243,243,"115","2","0","123","3"
"1696","Totals",2956,2237,2233,"1098","9","1","1102","23"
"1696","Election Day",2956,381,380,"168","2","1","207","2"
"1696","Early Vote",2956,908,908,"360","1","0","542","5"
"1696","Mail",2956,948,945,"570","6","0","353","16"
"1700","Totals",3484,2650,2646,"1373","11","4","1219","39"
"1700","Election Day",3484,505,505,"238","5","1","252","9"
"1700","Early Vote",3484,1003,1002,"434","2","0","555","11"
"1700","Mail",3484,1142,1139,"701","4","3","412","19"
"1702","Totals",2402,1643,1636,"691","4","2","920","19"
"1702","Election Day",2402,260,260,"100","0","0","158","2"
"1702","Early Vote",2402,775,774,"257","3","1","511","2"
"1702","Mail",2402,608,602,"334","1","1","251","15"
"1706","Totals",184,124,123,"63","0","0","58","2"
"1706","Election Day",184,29,29,"13","0","0","15","1"
"1706","Early Vote",184,54,54,"27","0","0","27","0"
"1706","Mail",184,41,40,"23","0","0","16","1"
"1712","Totals",2835,2411,2405,"1150","8","5","1229","13"
"1712","Election Day",2835,283,281,"111","3","2","163","2"
"1712","Early Vote",2835,947,947,"357","1","1","587","1"
"1712","Mail",2835,1181,1177,"682","4","2","479","10"
"1715","Totals",2651,2421,2416,"1000","7","4","1368","37"
"1715","Election Day",2651,93,91,"29","0","0","59","3"
"1715","Early Vote",2651,856,856,"245","1","0","604","6"
"1715","Mail",2651,1472,1469,"726","6","4","705","28"
"1717","Totals",2749,2554,2545,"1157","5","1","1348","34"
"1717","Election Day",2749,127,126,"48","1","1","74","2"
"1717","Early Vote",2749,884,881,"285","2","0","589","5"
"1717","Mail",2749,1543,1538,"824","2","0","685","27"
"1719","Totals",785,724,722,"338","0","0","371","13"
"1719","Election Day",785,38,38,"11","0","0","26","1"
"1719","Early Vote",785,241,241,"58","0","0","182","1"
"1719","Mail",785,445,443,"269","0","0","163","11"
"1732","Totals",2,2,2,"*","*","*","*","*"
"1732","Election Day",2,0,0,"0","0","0","0","0"
"1732","Early Vote",2,2,2,"*","*","*","*","*"
"1732","Mail",2,0,0,"0","0","0","0","0"
"1750","Totals",1700,1246,1242,"475","6","4","748","9"
"1750","Election Day",1700,201,201,"65","0","2","133","1"
"1750","Early Vote",1700,307,307,"82","1","1","221","2"
"1750","Mail",1700,738,734,"328","5","1","394","6"
"1751","Totals",1486,1219,1218,"340","4","1","858","15"
"1751","Election Day",1486,179,179,"34","1","0","142","2"
"1751","Early Vote",1486,328,328,"61","0","0","266","1"
"1751","Mail",1486,712,711,"245","3","1","450","12"
"1753","Totals",269,228,228,"62","0","0","164","2"
"1753","Election Day",269,14,14,"4","0","0","10","0"
"1753","Early Vote",269,46,46,"8","0","0","37","1"
"1753","Mail",269,168,168,"50","0","0","117","1"
"2000","Totals",0,0,0,"0","0","0","0","0"
"2000","Election Day",0,0,0,"0","0","0","0","0"
"2000","Early Vote",0,0,0,"0","0","0","0","0"
"2000","Mail",0,0,0,"0","0","0","0","0"
"2002","Totals",33,22,21,"7","0","0","14","0"
"2002","Election Day",33,2,2,"*","*","*","*","*"
"2002","Early Vote",33,14,14,"2","0","0","12","0"
"2002","Mail",33,6,5,"*","*","*","*","*"
"2003","Totals",1093,699,698,"394","2","4","288","10"
"2003","Election Day",1093,165,165,"83","0","2","73","7"
"2003","Early Vote",1093,238,238,"102","0","2","133","1"
"2003","Mail",1093,296,295,"209","2","0","82","2"
"2004","Totals",1500,1029,1029,"543","9","2","461","14"
"2004","Election Day",1500,190,190,"84","2","1","98","5"
"2004","Early Vote",1500,383,383,"155","1","1","224","2"
"2004","Mail",1500,456,456,"304","6","0","139","7"
"2005","Totals",2256,1652,1652,"853","10","6","754","29"
"2005","Election Day",2256,354,354,"154","3","1","185","11"
"2005","Early Vote",2256,649,649,"265","3","2","371","8"
"2005","Mail",2256,649,649,"434","4","3","198","10"
"2007","Totals",615,444,444,"160","3","0","275","6"
"2007","Election Day",615,95,95,"28","1","0","64","2"
"2007","Early Vote",615,204,204,"55","1","0","146","2"
"2007","Mail",615,145,145,"77","1","0","65","2"
"2008","Totals",3500,2335,2334,"1093","10","3","1207","21"
"2008","Election Day",3500,459,459,"203","1","1","249","5"
"2008","Early Vote",3500,1033,1033,"382","3","2","643","3"
"2008","Mail",3500,843,842,"508","6","0","315","13"
"2009","Totals",1798,1023,1022,"598","4","1","410","9"
"2009","Election Day",1798,283,283,"167","0","0","110","6"
"2009","Early Vote",1798,336,336,"144","1","0","189","2"
"2009","Mail",1798,404,403,"287","3","1","111","1"
"2010","Totals",62,51,51,"19","0","0","31","1"
"2010","Election Day",62,5,5,"*","*","*","*","*"
"2010","Early Vote",62,22,22,"7","0","0","15","0"
"2010","Mail",62,24,24,"10","0","0","13","1"
"2011","Totals",1531,1064,1061,"560","6","0","478","17"
"2011","Election Day",1531,218,217,"94","2","0","117","4"
"2011","Early Vote",1531,378,378,"156","2","0","215","5"
"2011","Mail",1531,468,466,"310","2","0","146","8"
"2012","Totals",3,3,3,"*","*","*","*","*"
"2012","Election Day",3,0,0,"0","0","0","0","0"
"2012","Early Vote",3,3,3,"*","*","*","*","*"
"2012","Mail",3,0,0,"0","0","0","0","0"
"2013","Totals",1241,716,716,"468","6","1","235","6"
"2013","Election Day",1241,191,191,"122","3","0","66","0"
"2013","Early Vote",1241,216,216,"123","0","0","92","1"
"2013","Mail",1241,309,309,"223","3","1","77","5"
"2014","Totals",3325,2080,2076,"1283","6","1","751","35"
"2014","Election Day",3325,446,446,"276","1","0","165","4"
"2014","Early Vote",3325,703,703,"364","2","1","329","7"
"2014","Mail",3325,931,927,"643","3","0","257","24"
"2015","Totals",2916,1654,1646,"921","11","4","682","28"
"2015","Election Day",2916,476,476,"251","5","3","206","11"
"2015","Early Vote",2916,568,568,"274","1","1","285","7"
"2015","Mail",2916,610,602,"396","5","0","191","10"
"2016","Totals",191,143,143,"59","2","0","81","1"
"2016","Election Day",191,26,26,"13","0","0","13","0"
"2016","Early Vote",191,64,64,"15","0","0","49","0"
"2016","Mail",191,53,53,"31","2","0","19","1"
"2017","Totals",1,0,0,"0","0","0","0","0"
"2017","Election Day",1,0,0,"0","0","0","0","0"
"2017","Early Vote",1,0,0,"0","0","0","0","0"
"2017","Mail",1,0,0,"0","0","0","0","0"
"2019","Totals",255,185,185,"67","0","0","118","0"
"2019","Election Day",255,50,50,"21","0","0","29","0"
"2019","Early Vote",255,78,78,"24","0","0","54","0"
"2019","Mail",255,57,57,"22","0","0","35","0"
"2020","Totals",0,0,0,"0","0","0","0","0"
"2020","Election Day",0,0,0,"0","0","0","0","0"
"2020","Early Vote",0,0,0,"0","0","0","0","0"
"2020","Mail",0,0,0,"0","0","0","0","0"
"2021","Totals",3610,2009,2000,"1256","7","4","707","26"
"2021","Election Day",3610,477,477,"299","0","0","171","7"
"2021","Early Vote",3610,671,670,"345","2","3","315","5"
