,,Mitt Romney and Paul Ryan,Barack Obama and Joe Biden,Gary Johnson and James P. Gray,Jill Stein and Cheri Honkala,Virgil Goode and Jim Clymer,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Constitution,,,
Precinct,Grenadier,426,601,16,4,0,1047,7,1054
Precinct,Hollow Creek,978,222,9,1,3,1213,3,1216
Precinct,Hook's Store,568,383,8,2,3,964,8,972
Precinct,Irmo,623,500,12,2,3,1140,5,1145
Precinct,Kitti Wake,631,265,14,1,4,915,10,925
Precinct,Lake Murray 01,996,161,9,2,0,1168,8,1176
Precinct,Lake Murray 02,1039,261,18,5,1,1324,2,1326
Precinct,Leaphart Road,274,207,7,1,1,490,4,494
Precinct,Leesville,726,522,9,5,5,1267,6,1273
Precinct,Lexington No. 01,1056,428,17,3,4,1508,2,1510
Precinct,Lexington No. 02,553,319,16,2,3,893,9,902
Precinct,Lexington No. 03,1033,292,9,5,1,1340,6,1346
Precinct,Lexington No. 04,1140,479,24,5,3,1651,2,1653
Precinct,Lincreek,845,378,21,5,2,1251,2,1253
Precinct,Mack-edisto,281,110,6,2,1,400,2,402
Precinct,Midway,540,130,6,6,0,682,0,682
Precinct,Mims,417,167,5,3,3,595,4,599
Precinct,Mount Horeb,928,205,14,3,1,1151,7,1158
Precinct,Mt. Hebron,504,267,9,1,0,781,1,782
Precinct,Murraywood,866,380,20,6,1,1273,3,1276
Precinct,Oakwood,1014,304,16,8,4,1346,5,1351
Precinct,Old Barnwell Road,503,297,10,5,3,818,7,825
Precinct,Old Lexington,1165,276,24,4,0,1469,3,1472
Precinct,Park Road 01,679,229,8,3,3,922,1,923
Precinct,Park Road 02,415,107,5,1,1,529,2,531
Precinct,Pelion 01,499,155,10,4,5,673,2,675
Precinct,Pelion 02,518,146,9,5,1,679,10,689
Precinct,Pilgrim Church,1103,340,13,4,1,1461,3,1464
Precinct,Pine Ridge 01,519,182,20,3,1,725,3,728
Precinct,Pine Ridge 02,774,390,14,2,0,1180,8,1188
